County,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other","Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,Part I crimes reported to police (number),Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), 2011 census adjusted","White, not Latino population",Latino population,Black population,Asian/other population,"Total adult population, age 18-69","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,Unnamed: 43,Year,Total adult population in prison (number) as of December 31,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,"New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Part I crimes reported to police (number), as defined by the California Crime Index (CCI)","Property crimes reported (excluding larceny under $400 and arson, per CCI)","Total county population, all ages (number), using Dept. of Finance table E-2","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3",Unnamed: 53,"Imprisonments for 3rd strikes (June 30, 2013)","Imprisonments for 2nd strikes (June 30, 2013)","Part I crimes reported to police (number), as defined by the Criminal Justice Statistics Center","Total county population, all ages (number), July 1, 2013","At Legislative Analyst-estimated cost per prisoner per year, 2013-14","New felon and parole violator admissions to prison, Asian/all other/unknown race","Total county population, all ages (number), July 1, 2014","At Legislative Analyst-estimated cost per prisoner per year, 2014-15",New felon and parole violator admissions to prison who are under age 35 (2014),New felon and parole violator admissions to prison who are age 35 or older (2014),"Total county population, all ages (number), July 1, 2015","Estimated cost per prisoner per year, 2015-16","Total county population, all ages (number), July 1, 2016","Estimated cost per prisoner per year, 2016-17"
Alameda,4182.0,4370.0,172.0,3187.0,650.0,501.0,94.0,39.0,592.0,132.0,460.0,1329.0,195.0,259.0,798.0,77.0,3464.0,718.0,3819.0,363.0,44584.0,11189.0,33395.0,15990.0,3435.0,3719.0,5424.0,12865.0,3125.0,3358.999999999999,3315.9999999999977,8070.0,1245.0000000000011,15990.000000000002,386651.9097561512,215470.85215724664,131347.09391882867,314035.2086501274,1047505.064482354,501772.0017281163,494030.4344289442,47102.0,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,13.0,39.0,15.0,8.0,3.0,2.0,15.0,0.0,11.000000000000004,0.0,0.0,4.0,14.999999999999996,620.9792922453835,47.60261263193399,0.4318899383808953,156.51992180740524,825.5337166231036,474.0691888511354,466.7550331841885,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,82.0,202.0,20.0,102.0,41.0,50.0,29.0,2.0,60.0,12.0,48.0,78.0,62.0,5.0,6.0,5.0,40.0,42.0,63.0,19.0,644.0,107.0,537.0,437.0,87.0,50.0,100.0,315.0,122.0,329.00000000000006,55.99999999999999,24.000000000000007,28.0,436.99999999999955,20538.22038942073,3207.3652150910125,989.7661859324364,1265.0822018344734,26000.433992278653,13541.486535319118,13332.562304826062,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,529.0,1253.0,128.0,670.0,281.0,291.0,157.0,31.0,156.0,41.0,115.0,440.0,283.0,78.0,47.0,32.0,379.0,150.0,453.0,76.0,4511.0,932.0,3579.0,1960.0,546.0,496.0,517.0,1468.0,492.0,1555.000000000001,205.00000000000003,131.00000000000006,69.0,1960.0000000000016,117636.82906973216,18790.515014810862,2257.7321434605224,12249.058814082937,150934.13504208645,73994.59886874088,72852.97644870798,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,74.0,106.0,10.0,53.0,21.0,26.0,21.0,1.0,11.0,0.0,11.0,48.0,41.0,5.0,1.0,1.0,51.0,23.0,64.0,10.0,607.0,84.0,523.0,433.0,190.0,62.0,107.0,323.0,110.0,374.99999999999983,40.0,7.0,11.0,432.9999999999999,25475.85846109828,2654.430139266907,220.382993354754,1499.0787619410112,29849.75035566095,15538.637417538896,15298.9002323412,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colusa,39.0,80.0,6.0,52.0,14.0,13.0,5.0,4.0,7.0,3.0,4.0,35.0,16.0,16.0,3.0,0.0,21.0,18.0,34.0,5.0,411.0,59.0,352.0,256.0,51.0,44.0,26.0,196.0,60.0,124.0,111.0,14.000000000000004,7.0,256.0000000000001,5689.730677285078,6810.963377470779,87.30324173205145,542.5851181854578,13130.582414673368,6905.243086256823,6798.705846464063,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,1450.0,1880.0,62.0,1401.0,309.0,114.0,15.0,2.0,322.0,87.0,235.0,521.0,133.0,117.0,238.0,33.0,1124.0,326.0,1241.0,209.0,24100.0,4257.0,19843.0,10345.0,2466.0,3010.0,2749.0,8044.0,2301.0,3911.000000000001,2281.999999999999,3555.0000000000005,596.9999999999998,10344.999999999998,354471.340677111,151334.41796594742,62572.08230244413,123423.58778126175,691801.4287267643,343552.2257215885,338251.74529014906,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,115.0,148.0,9.0,98.0,27.0,15.0,4.0,0.0,18.0,5.0,13.0,40.0,29.0,6.0,1.0,4.0,66.0,49.0,94.0,21.0,506.0,108.0,398.0,411.0,137.0,97.0,74.0,310.0,101.0,344.00000000000006,23.0,7.0,37.00000000000001,411.00000000000006,12876.58313569312,3585.673539348837,1082.991790181094,2154.6311264169053,19699.87959163996,10185.337730943207,10028.193694932168,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,361.0,419.0,36.0,271.0,83.0,53.0,17.0,1.0,84.0,17.0,67.0,160.0,119.0,24.0,6.0,11.0,200.0,161.0,309.0,52.0,2256.0,520.0,1736.0,1881.0,525.0,336.0,384.0,1407.0,474.0,1546.0,217.99999999999997,63.99999999999999,53.000000000000014,1881.0,98688.87584397508,12611.015102303098,847.5494048189382,7773.01810060245,119920.45845169955,61345.529192484224,60399.06238861445,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,2564.0,4895.0,365.0,2819.0,1092.0,829.0,501.0,24.0,977.0,196.0,781.0,2240.0,500.0,1204.0,396.0,140.0,1891.0,673.0,2255.0,309.0,24765.0,4694.0,20071.0,13114.0,3867.0,2705.0,3371.0,10472.0,2642.0,3096.999999999999,7209.000000000003,2089.0000000000005,719.0000000000001,13114.000000000004,212687.8170159207,273663.15219422104,29088.33751213654,66639.53975089651,582078.8464731749,289635.2370213208,285166.6124829051,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
