County,"Imprisonments per 1,000 annual adult felony arrests","County imprisonment rate as percent of state average (=100%), arrest based","County imprisonments if rate equalled state average, projected (number)",County actual imprisonments minus projected imprisonments at average state rate (number),Total imprisonment costs (millions of dollars),Costs added (saved) from excessive (lower) imprisonments (millions of dollars/year),Total imprisonment costs per adult felony arrest (actual dollars),Total imprisonment costs per adult felony arrest versus state average (actual dollars),"Men imprisoned per 1,000 male felony arrests","Women imprisoned per 1,000 female felony arrests","Imprisonments for violent offenses per 1,000 violent felony arrests","Imprisonments for property offenses per 1,000 property felony arrests","Imprisonments for drug offenses per 1,000 drug felony arrests","Total adult imprisonments per 100,000/population age 18-69","Men imprisoned per 100,000 males","Women imprisoned per 100,000 females","Imprisonments for violent offenses per 100,000 population","Imprisonments for property offenses per 100,000 population","Imprisonments for drug offenses per 100,000 population","Imprisonments for drug possession offenses per 100,000 population","Imprisonments for marijuana offenses per 100,000 population","Imprisonments for strike offenses per 100,000 population","Imprisonments for 3rd strikes per 100,000 population","Imprisonments for 2nd strikes per 100,000 population",Change in imprisonment rates per adult felony arrest compared to 2009,"New felon and parole violator admissions per 1,000 adult felony arrests","New felon and parole violator admissions per 1,000 felonies as a percent of the state average (=100%)","White, not Latino, new felon and parole violator admissions per 1,000 white felony arrests","Latino new felon and parole violator admissions per 1,000 latino felony arrests","Black new felon and parole violator admissions per 1,000 black felony arrests","Asian/other new felon and parole violator admissions per 1,000 asian/other felony arrests","New felon and parole violator admissions per 100,000 population","White, not Latino, new felon and parole violator admissions per 100,000 whites","Latino new felon and parole violator admissions per 100,000 Latinos","Black new felon and parole violator admissions per 100,000 African Americans","Asian/other new felon and parole violator admissions per 100,000 Asian/other population",Percent of jail population that is unsentenced,"County jail populations per 1,000 adult felony arrests","County jail incarceration rate per 1,000 felony arrests as a percent of the state average (=100%)","Men jailed per 1,000 male felony arrests","Women jailed per 1,000 female felony arrests","County jail populations per 100,000 population age 18-69","Men jailed per 100,000 males age 18-69","Women jailed per 100,000 females age 18-69",Total adult population incarcerated,"Total adult incarceration rate per 1,000 adult felony arrests",Total adult incarceration rate as a percent of the state average (=100%),"Total adult male incarceration rate per 1,000 adult male felony arrests","Total adult female incarceration rate per 1,000 adult female felony arrests","Total adult male incarceration rate per 100,000 males age 18-69","Total adult female incarceration rate per 100,000 females age 18-69",Percent of incarcerated adult population held locally,"Total incarcerated (state prison + local jails), adult males","Total incarcerated (state prison + local jails), adult females","Part I crime rate per 100,000 population (offenses reported to police)","Violent crime rate per 100,000 population","Property crime rate per 100,000 population","Adult felony arrest rate per 100,000 population age 18-69",Violent crime arrest rate,Property crime arrest rate,Drug offense arrest rate,Male felony arrest rate,Female felony arrest rate,"White, not Latino, felony arrest rate",Latino felony arrest rate,African American felony arrest rate,Asian/other felony arrest rate,"Percent of adults ages 18-64 living in households with incomes below poverty guidelines, 5-year average",Adult poverty rate as percent of state adult poverty rate
Alameda,284.9042758988727,0.6999118543054625,6102.196974843647,-1831.1969748436468,195.731388,-83.92009496313464,13056.593155893535,-5598.031816632289,342.17308171917864,52.32950708980419,1065.0195058517556,157.31604172540176,70.04878048780489,404.1324726779192,793.0376076313493,28.94220894407618,309.9831375539366,52.79932562731888,33.96945860252236,6.812816209976629,2.365561184019663,58.192805126883705,13.057897735788538,45.13490739109517,0.0029985406479466903,83.31665666066307,0.560233608101198,39.38248267170761,73.16304005045723,110.12675480441595,64.17112299465238,118.18343675362236,32.95800856594319,104.66335610133552,618.1650682514496,25.831155434537607,0.837738811829364,254.88626509238875,1.4444697486536289,292.45988860254386,102.29574611748818,361.55237136556525,677.8198016635293,56.57735038745215,8092.0,539.7905409912614,0.9250687111392929,634.6329703217225,154.62525320729236,1470.8574092948786,85.51955933152834,0.472194760257044,7634.0,458.0,2704.1420079247146,691.6450885468251,2012.4969193778895,1418.4851083855506,291.0586480817793,335.62582078870975,484.94004272403083,2317.650481583455,553.0762767248623,836.8697535064298,1430.5495784367893,5613.214239803077,402.53550552154456,0.10808363413811624,0.869510509142086
Alpine,400.0,0.9826624779108581,6.10586049113833,-0.10586049113832985,0.274968,-0.004851374587887381,18331.199999999997,-323.4249725258269,461.53846153846155,0.0,500.0,0.0,1000.0,740.7715526724896,1376.1467889908258,0.0,370.3857763362448,0.0,370.3857763362448,0.0,246.92385089082987,0.0,0.0,0.0,1.0,266.6666666666667,1.793106382502281,0.0,666.6666666666666,****,333.3333333333333,493.84770178165974,0.0,5402.225679478864,0.0,1367.9559562767056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,400.0,0.6855019796682719,461.53846153846155,0.0,1376.1467889908258,0.0,0.0,6.0,0.0,4359.197907585004,871.8395815170009,3487.3583260680034,1851.9288816812239,740.7715526724896,0.0,370.3857763362448,2981.651376146789,523.5602094240838,957.3332632086675,8103.338519218295,****,4103.867868830117,0.14342629482071714,1.1538349133834764
Amador,404.33925049309664,0.9933225245154138,206.37808460047552,-1.3780846004755176,9.39474,-0.06315486107059202,18530.059171597633,-124.56580092819058,529.9145299145299,121.7948717948718,1000.0,714.2857142857143,279.06976744186045,781.2651218535136,1239.0913330224503,167.3271686481726,331.5612956158814,133.3867281213316,182.93036999496906,106.70938249706526,7.622098749790376,194.3635181196546,49.54364187363745,144.81987624601715,-0.20407093484016559,199.2110453648915,1.339524738407769,169.15422885572144,236.36363636363635,538.4615384615385,351.35135135135135,384.91598686441404,329.3531042957985,381.26732470316244,805.5845435111436,989.0873708328769,0.5176470588235295,167.65285996055226,0.9501080193571892,205.1282051282051,83.33333333333333,323.939196866091,479.64825794417425,114.48701012769705,290.0,571.9921104536489,0.9802543101765229,735.0427350427351,205.1282051282051,1718.7395909666245,281.81417877586966,0.29310344827586204,258.0,32.0,1506.3180942833776,290.18387105283983,1216.1342232305378,1932.2020330718603,331.5612956158814,186.74141936986422,655.5004924819724,2338.2852574778494,1373.8441215323646,1947.058057748691,1613.0540660518413,1496.0855808064098,2815.0948246781877,0.08854038641168084,0.7122891183514328
Butte,688.6694386694386,1.6918240426609756,783.1783723300097,541.8216276699903,60.7221,24.830601552860315,31560.34303534303,12905.718062817206,844.742413549753,252.46548323471401,1259.9620493358634,608.1370449678801,435.9805510534846,885.1950330002818,1590.0848842306618,171.7175782455293,443.5996240846694,189.73236933741887,179.71129349213265,99.54268672984298,16.701793075477013,109.56376257512919,28.05901236680138,81.50475020832782,-0.022598045045546744,288.46153846153845,1.9396583464567942,252.94888597640897,449.760765550239,495.3271028037384,268.29268292682934,370.7798062755897,335.2534621375356,479.865324020641,2359.911200031687,173.05008043178242,0.7495327102803738,278.06652806652806,1.5758349621532397,333.09809456598447,124.2603550295858,357.41837181520805,627.0008900224498,84.51724554272145,1860.0,966.7359667359667,1.6567485475350645,1177.8405081157375,376.7258382642998,2217.085774253112,256.23482378825076,0.28763440860215056,1669.0,191.0,1924.7900229065922,346.3258553612333,1578.4641675453588,1285.3699950887108,352.07379803105545,311.98949464991057,412.20025310277265,1882.3310617834986,680.1625950819013,1325.3802674141953,1066.9346034075961,4764.349026479065,645.0048452457344,0.1995118390101098,1.6050315304523675
Calaveras,241.30434782608694,0.5928018209136154,187.24638839490876,-76.24638839490876,5.086908,-3.4942194873618786,11058.495652173913,-7596.129320351911,298.2456140350877,76.27118644067797,378.3783783783784,231.8840579710145,169.81132075471697,365.606708497421,672.2910624835223,59.1910555738244,184.4502313140142,52.70006608971835,88.93136152639971,65.87508261214793,6.5875082612147935,42.81880369789615,0.0,42.81880369789615,-0.09926911544227879,100.0,0.6724148934383554,96.69211195928752,48.78048780487805,100.00000000000001,312.49999999999994,151.51269000794025,147.56066523507974,69.68423675539478,469.45498239206313,327.81072158250305,0.5967741935483871,134.7826086956522,0.7638285289123757,154.97076023391813,76.27118644067797,204.2127560976586,349.3277089375165,59.1910555738244,173.0,376.0869565217391,0.6445208830576686,453.2163742690058,152.54237288135593,1021.6187714210387,118.3821111476488,0.3583815028901734,155.0,18.0,1414.114631667326,205.48853241415833,1208.6260992531677,1515.1269000794023,487.47561132989466,227.26903501191035,523.706906766576,2254.152385974163,776.0605064123644,1526.0879325627984,1428.5268534855932,4694.54982392063,1048.9943090640102,0.08528908779973074,0.686133092658985
Colusa,339.35018050541515,0.8336667231373706,112.75489040302115,-18.75489040302115,4.307832,-0.8594991173896532,15551.740072202167,-3102.8849003236573,425.74257425742576,106.66666666666667,873.015873015873,339.62264150943395,204.54545454545456,700.586838839496,1257.1261511474931,123.36160370084811,409.91783123587527,134.15492658628648,67.07746329314324,22.359154431047745,0.0,52.1713603391114,22.359154431047745,29.81220590806366,0.01015867685332883,137.18411552346572,0.9224464242114624,145.985401459854,137.9310344827586,83.33333333333331,83.33333333333333,283.2159561266048,347.1987891584862,226.6282274881353,1138.1506145583417,196.44368289235462,0.6521739130434783,166.06498194945848,0.9411093322339507,173.26732673267327,146.66666666666666,342.8403679427321,511.6211080251425,169.62220508866613,140.0,505.4151624548736,0.8661577360429427,599.009900990099,253.33333333333334,1768.7472591726355,292.9838087895143,0.32857142857142857,121.0,19.0,1776.0581763938094,223.75536080551933,1552.30281558829,2064.495259133408,469.5422430520026,395.0117282818435,327.93426498870025,2952.7846806022512,1156.515034695451,2378.3117057356303,1643.0546492889814,13657.807374700102,2357.3241947082556,0.1183196821020193,0.9518574004884921
Contra Costa,179.0845941573889,0.43994927762590036,4277.765860091514,-2395.765860091514,86.248296,-109.79315783627389,8207.088781044818,-10447.536191481006,221.2647165918194,25.991189427312776,623.6051502145923,94.06422315926045,30.6477093206951,268.0117832596428,534.1075891326831,16.47855971802112,206.91876784073378,41.2983087913371,13.813572250895513,1.9937114588921354,0.7120398067471913,45.00091578642249,12.674308560100005,32.32660722632249,-0.046019502287235836,44.43810067561138,0.29880840730394137,30.59273422562144,55.01618122977347,53.833145434047374,47.23127035830616,66.50451795018766,36.5718311638055,74.4791658665165,304.65382484843366,22.352147210956257,0.8662016487000634,150.0618517461224,0.8504177547411215,166.88918558077438,88.98678414096916,224.57735504806416,402.85130831455797,56.41811971254689,3459.0,329.1464459035113,0.5640763506690818,388.15390217259375,114.97797356828194,936.958897447241,72.89667943056801,0.4559121133275513,3198.0,261.0,2306.2330829354337,411.1416927709011,1895.0913901645329,1496.5652658212466,331.81054994419117,439.04374484031814,450.72119767097206,2413.8850394208316,634.0056027103042,1195.441731166891,1353.7683678090348,5659.223929645247,473.2489099147293,0.08506774974183849,0.6843524737064017
Del Norte,262.85714285714283,0.645749628341421,213.70511718984156,-75.70511718984156,6.324264,-3.4694141105760585,12046.217142857144,-6608.40782966868,342.03655352480416,49.29577464788732,548.5714285714286,183.4862385321101,79.13669064748201,694.3353726024424,1126.6878816547692,85.18924181574783,483.01591137561206,100.62831486991917,55.345573178455545,15.094247230487877,0.0,90.56548338292725,30.188494460975754,60.37698892195151,-0.3118835304822566,60.95238095238095,0.40985288742909276,50.88495575221239,166.66666666666666,0.0,128.20512820512823,161.0053037918707,177.90307955710696,108.64058893528859,0.0,223.77015913606934,0.6407766990291263,196.1904761904762,1.1118339692739896,211.48825065274153,154.9295774647887,518.2358215800837,696.654339038445,267.7376171352075,241.0,459.04761904761904,0.7866951290478739,553.5248041775457,204.22535211267606,1823.3422206932141,352.92685895095536,0.42738589211618255,212.0,29.0,2131.08443853449,388.42425726983316,1742.6601812646568,2641.4932653353785,880.4977551117928,548.4243160410596,699.3667883459383,3294.056936441042,1728.1246196908846,3496.1822591222763,651.8435336117316,970.4656708960856,1745.4072412613407,0.21115800580321814,1.6987225364828369
El Dorado,275.8620689655172,0.677698260628178,684.6704897396447,-220.67048973964472,21.264192,-10.11288720378844,12642.206896551725,-6012.418075974099,342.443729903537,86.7579908675799,547.3251028806584,307.69230769230774,159.26892950391644,379.1122086067793,693.1111906543881,62.25629935450048,217.3358782099209,81.70521737215071,49.84018259701193,22.8774608642022,4.085260868607535,66.99827824516358,13.88988695326562,53.10839129189796,0.14043198181129224,107.60998810939358,0.7235855868748058,92.52669039145907,161.84971098265893,162.79069767441862,262.29508196721315,147.88644344359278,130.6639412912407,208.00515226173758,797.6406361405233,186.90408373362666,0.49666666666666665,178.359096313912,1.0107814908318422,204.1800643086817,105.0228310502283,245.1156521164521,413.2634798737431,75.36288869229004,764.0,454.2211652794292,0.7784237700156951,546.6237942122186,191.7808219178082,1106.3746705281312,137.61918804679053,0.39267015706806285,680.0,84.0,1302.5504600321221,267.68515809982176,1034.8653019323003,1374.281756199575,397.0873564286524,265.5419564594898,312.93098253533725,2024.0148384367576,717.5857662439792,1412.1756731861012,1285.1746907600216,4899.792479148929,712.5718192344517,0.07673371467447253,0.6173068832021698
Fresno,356.912701386287,0.8768117988552673,5432.180550282734,-669.1805502827337,218.278764,-30.667206258357123,16356.59527913076,-2298.029693395063,420.8216619981326,97.15370018975332,770.0433369447453,293.7154021491371,178.92524767337136,806.9825805770781,1523.6646382691006,87.59593636976435,481.68202321659317,152.82349100997786,100.97871468065055,61.163281878716184,3.5579748461303047,166.37768089999807,33.20776523054951,133.16991566944856,-0.11016099506088073,131.7347321094043,0.8858039585347538,112.28689006466782,134.1006795174041,146.77983025461813,157.75034293552807,297.85332283319406,181.60050914370748,343.45209024798197,992.3648235185464,167.41331889333753,0.8737864077669902,131.21019108280254,0.7435832278584006,146.31185807656396,69.8292220113852,296.6673312178173,529.7498309668695,62.95957926576813,6514.0,488.1228924690895,0.8365230227724095,567.1335200746965,166.98292220113854,2053.41446923597,150.5555156355325,0.26880564937058643,6074.0,440.0,3063.4193392814113,533.2904643249476,2530.1288749564637,2261.008301028996,625.5258634244326,520.3114644031508,564.3625815457164,3620.689655172414,901.6222356809728,1617.2903981855839,2561.151005975383,6760.9072840396175,1061.2548649847226,0.19428528587627802,1.5629849901718202
