County,"Imprisonments per 1,000 annual adult felony arrests","County imprisonment rate as percent of state average (=100%), arrest based","County imprisonments if rate equalled state average, projected (number)",County actual imprisonments minus projected imprisonments at average state rate (number),Total imprisonment costs (millions of dollars),Costs added (saved) from excessive (lower) imprisonments (millions of dollars/year),Total imprisonment costs per adult felony arrest (actual dollars),Total imprisonment costs per adult felony arrest versus state average (actual dollars),"Men imprisoned per 1,000 male felony arrests","Women imprisoned per 1,000 female felony arrests","White, not Latino, imprisonments per 1,000 white felony arrests","Latino imprisonments per 1,000 latino felony arrests","Black imprisonments per 1,000 black felony arrests","Asian/other imprisonments per 1,000 asian/other felony arrests","Imprisonments for violent offenses per 1,000 violent felony arrests","Imprisonments for property offenses per 1,000 property felony arrests","Imprisonments for drug offenses per 1,000 drug felony arrests","Total adult imprisonments per 100,000/population age 18-69","Men imprisoned per 100,000 males","Women imprisoned per 100,000 females","White, not Latino, imprisonments per 100,000 whites","Latino imprisonments per 100,000 Latinos","Black imprisonments per 100,000 African Americans","Asian/other imprisonments per 100,000 asian/other population","Imprisonments for violent offenses per 100,000 population","Imprisonments for property offenses per 100,000 population","Imprisonments for drug offenses per 100,000 population","Imprisonments for drug possession offenses per 100,000 population","Imprisonments for marijuana offenses per 100,000 population","Imprisonments for strike offenses per 100,000 population","Imprisonments for 3rd strikes per 100,000 population","Imprisonments for 2nd strikes per 100,000 population",Change in imprisonment rates per adult felony arrest compared to 2009,"New felon and parole violator admissions per 1,000 adult felony arrests","New felon and parole violator admissions per 1,000 felonies as a percent of the state average (=100%)","Male new felon and parole violator admissions per 1,000 male felony arrests","Female new felon and parole violator admissions per 1,000 female felony arrests","White, not Latino, new felon and parole violator admissions per 1,000 white felony arrests","Latino new felon and parole violator admissions per 1,000 latino felony arrests","Black new felon and parole violator admissions per 1,000 black felony arrests","Asian/other new felon and parole violator admissions per 1,000 asian/other felony arrests","New felony and parole violator admissions for violent offenses per 1,000 violent felony arrests","New felony and parole violator admissions for propery offenses per 1,000 property felony arrests","New felony and parole violator admission for drug offenses per 1,000 drug felony arrests","New felon and parole violator admissions per 100,000 population","Male new felon and parole violator admissions per 100,000 male population","Female new felon and parole violator admissions per 100,000 female population","White, not Latino, new felon and parole violator admissions per 100,000 whites","Latino new felon and parole violator admissions per 100,000 Latinos","Black new felon and parole violator admissions per 100,000 African Americans","Asian/other new felon and parole violator admissions per 100,000 Asian/other population","New felony and parole violator admissions for violent offenses per 100,000 population","New felony and parole violator admissions for propery offenses per 100,000 population","New felony and parole violator admission for drug offenses per 100,000 population",Percent of jail population that is unsentenced,"County jail populations per 1,000 adult felony arrests","County jail incarceration rate per 1,000 felony arrests as a percent of the state average (=100%)","Men jailed per 1,000 male felony arrests","Women jailed per 1,000 female felony arrests","County jail populations per 100,000 population age 18-69","Men jailed per 100,000 males age 18-69","Women jailed per 100,000 females age 18-69",Total adult population incarcerated,"Total adult incarceration rate per 1,000 adult felony arrests",Total adult incarceration rate as a percent of the state average (=100%),"Total adult male incarceration rate per 1,000 adult male felony arrests","Total adult female incarceration rate per 1,000 adult female felony arrests","Total adult male incarceration rate per 100,000 males age 18-69","Total adult female incarceration rate per 100,000 females age 18-69",Percent of incarcerated adult population held locally,"Total incarcerated (state prison + local jails), adult males","Total incarcerated (state prison + local jails), adult females","Part I crime rate per 100,000 population (offenses reported to police)","Violent crime rate per 100,000 population","Property crime rate per 100,000 population","Adult felony arrest rate per 100,000 population age 18-69",Violent crime arrest rate,Property crime arrest rate,Drug offense arrest rate,Male felony arrest rate,Female felony arrest rate,"White, not Latino, felony arrest rate",Latino felony arrest rate,African American felony arrest rate,Asian/other felony arrest rate,"Percent of adults ages 18-64 living in households with incomes below poverty guidelines, 2010 Census",Adult poverty rate as percent of state adult poverty rate
Alameda,276.90491996754446,0.8516238057532953,4408.049627827673,-654.0496278276732,250.78597,-43.69378538702771,18498.633178431806,-3222.9686056670107,337.6104137610413,43.89721627408994,102.87221570926144,198.51277077271257,437.90280438947934,209.76353928298937,1029.879831113998,110.86544535691725,24.93660185967878,339.14903766234704,667.868376036934,21.83879066365067,92.86353029573465,251.01489327778847,1895.027249496846,78.20409277564784,286.47884880855156,31.710525364806557,10.660518498709896,3.8847652156315724,0.9034337710771098,54.838429904380575,11.473608892679295,43.364821011701274,66.67341230549071,54.436822305819874,0.5879139735466455,65.64388656438867,11.420413990007138,16.998827667057444,49.143226640801814,83.43494164779655,37.376048817696415,161.41604417018513,38.534428300694884,4.860524091293322,66.67341230549071,129.85818603196793,5.6816365954213115,15.344970818098599,62.14049475280756,361.0652555723902,13.93454744002457,44.90065842253236,11.02189200714074,2.0778976734773527,0.7958959325760352,201.2982223205724,1.1444187312218783,234.86750348675034,72.44825124910778,246.5470761269433,464.62008203505803,36.04288215220394,6483.0,478.20314228811685,0.9544116702263151,572.4779172477917,116.34546752319771,1132.488458071992,57.88167281585461,0.42094709239549594,6156.999999999999,326.0,4251.7446126074965,647.7443098764745,3604.0003027310217,1224.7851634492379,278.1672581146421,286.027131923013,427.5048604736884,1978.2220832490298,497.4983043865786,902.7075936440073,1264.4773044107487,4327.506539125453,372.8202386504533,0.10808363413811624,0.869510509142086
Alpine,200.0,0.6151019677462666,3.2514934187708735,-1.2514934187708735,0.13361,-0.0836060178409882,13361.000000000002,-8360.601784098815,222.2222222222222,0.0,0.0,****,0.0,666.6666666666666,500.0,****,0.0,239.52095808383234,452.48868778280547,0.0,0.0,0.0,****,1111.111111111111,239.52095808383234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,****,0.0,0.0,0.0,****,0.0,0.0,0.0,0.0,0.0,0.0,****,0.0,0.0,0.0,0.0,****,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,200.0,0.3991657878530974,222.2222222222222,0.0,452.48868778280547,0.0,0.0,2.0,0.0,2405.498281786942,343.64261168384877,2061.855670103093,1197.6047904191616,479.0419161676647,0.0,479.0419161676647,2036.1990950226245,254.4529262086514,1001.669449081803,0.0,****,1666.6666666666667,0.14342629482071714,1.1538349133834764
Amador,267.52767527675275,0.8227839974465743,176.23094329738134,-31.230943297381344,9.686725,-2.0863831669815607,17872.186346863466,-3849.4154372353514,381.72043010752685,17.647058823529413,201.00502512562815,559.322033898305,535.7142857142857,298.2456140350877,1166.6666666666667,226.41509433962264,121.38728323699422,570.9560560718223,972.7359912316756,27.782922763474716,409.89906235589484,943.9359267734554,1687.2890888638922,1137.8848728246319,330.76074972436606,47.251535674909434,82.69018743109152,15.750511891636476,11.812883918727358,240.1953063474563,47.251535674909434,192.94377067254686,169.31800283509216,79.33579335793357,0.8568211651941282,107.52688172043011,17.647058823529413,75.37688442211055,135.59322033898306,71.42857142857143,52.63157894736842,222.2222222222222,188.67924528301887,57.80346820809248,169.31800283509216,274.0101383751199,27.782922763474716,153.71214838346057,228.83295194508008,224.97187851518564,200.8032128514056,63.002047566545905,39.376279729091195,39.376279729091195,0.5443037974683544,145.75645756457564,0.8286532206320424,180.10752688172045,70.58823529411765,311.07260985982043,458.9669817783258,111.13169105389886,224.0,413.2841328413284,0.8248444324639652,561.8279569892472,88.23529411764706,1431.7029730100014,138.91461381737358,0.35267857142857145,209.0,15.0,1895.9624011963256,216.29993591113012,1679.6624652851956,2134.1943613167427,283.5092140494566,208.6942825641833,681.2096393132776,2548.294286888615,1574.3656232635674,2039.247835220577,1687.6430205949657,3149.6062992125985,3815.261044176707,0.08854038641168084,0.7122891183514328
Butte,348.27232295586725,1.071114955808586,950.4115263067263,67.58847369327373,68.00749,4.515247985079151,23266.332535066715,1544.7307509678976,445.2247191011234,85.13341804320203,300.702370500439,459.375,702.857142857143,420.0,1003.2786885245902,269.8412698412698,112.8747795414462,661.3352735966115,1225.404924813483,87.78365913736177,588.2757080778413,685.6023506366307,5503.355704697988,456.09208716426554,397.5807342250749,110.43909284029858,83.15414049151893,34.431011297269556,8.445342393669891,98.74554183367873,25.336027181009673,73.40951465266906,255.9588387004567,134.79302086897025,1.4557554454636104,167.13483146067415,47.013977128335455,127.30465320456541,143.75,211.42857142857144,140.0,296.72131147540983,95.23809523809523,67.90123456790123,255.9588387004567,460.01005063976186,48.47754310570725,249.05102969718828,214.54223217200692,1655.4809843400446,152.03069572142184,117.58515178878848,38.978503355399496,50.022412639429355,0.5062836624775583,190.55764625384876,1.0833565107354148,219.5692883895131,111.81702668360865,361.8504394826253,604.326929271844,115.29794035951996,1575.0,538.8299692097161,1.0754124458922827,664.7940074906364,196.95044472681067,1829.7318540853269,203.0815994968817,0.35365079365079366,1419.9999999999995,155.0,3268.9443577277952,303.23495341899644,2965.7094043087986,1898.9027551305455,396.2814507798949,409.2742852316947,736.6937134170505,2752.3290424832812,1031.1304438970703,1956.3387781041206,1492.467702066135,7829.977628635347,1085.933540867299,0.1995118390101098,1.6050315304523675
Calaveras,157.50915750915752,0.48442096360969716,177.53154066488972,-91.53154066488972,5.74523,-6.114764574117958,10522.399267399267,-11199.20251669955,209.30232558139537,31.446540880503143,145.87737843551795,256.4102564102564,0.0,333.3333333333333,310.3448275862069,220.77922077922076,29.197080291970803,286.7048939858648,539.4246137453383,33.37783711615487,277.264325323475,317.1582619727244,0.0,412.2497055359246,180.02400320042673,56.67422322976396,13.335111348179758,3.3337778370449396,0.0,56.67422322976396,6.667555674089879,50.00666755567409,113.34844645952792,62.27106227106227,0.6725232316294998,82.68733850129199,12.578616352201259,59.196617336152215,51.28205128205128,0.0,190.47619047619045,109.19540229885058,64.93506493506493,21.897810218978105,113.34844645952792,213.1060202450719,13.35113484646195,112.51305955155509,63.43165239454488,0.0,235.5712603062426,63.34177890385384,16.668889185224696,10.001333511134819,0.5180722891566265,152.014652014652,0.8642322479564394,178.29457364341087,88.0503144654088,276.70356047472995,459.5098561534363,93.45794392523365,169.0,309.5238095238095,0.6177565764393175,387.59689922480624,119.49685534591195,998.9344698987746,126.83578104138851,0.4911242603550296,150.0,19.0,2448.3448122639415,251.05532103976893,2197.2894912241723,1820.2426990265371,580.0773436458195,256.7008934524603,456.7275636751567,2577.2509323388385,1061.415220293725,1900.6670417101984,1236.9172216936252,5019.305019305019,1236.7491166077739,0.08528908779973074,0.686133092658985
Colusa,190.47619047619045,0.5858113978535872,116.0783150501202,-48.078315050120196,4.54274,-3.21187183692328,12724.761904761905,-8996.839879336912,241.63568773234206,34.090909090909086,184.71337579617833,201.2987012987013,260.8695652173913,86.95652173913044,706.6666666666666,153.84615384615387,30.303030303030305,484.08912935146293,897.5421154377246,44.0852314474651,530.6495882891126,396.7746064251888,4878.048780487805,309.59752321981426,377.30476258275786,56.9516622766427,14.237915569160675,0.0,7.118957784580338,49.83270449206237,7.118957784580338,42.713746707482024,220.68769132199046,86.83473389355741,0.9378092122722782,104.08921933085502,34.090909090909086,76.43312101910827,90.9090909090909,217.3913043478261,0.0,280.0,76.92307692307693,30.303030303030305,220.68769132199046,386.63352665009666,44.0852314474651,219.57913998170176,179.18853193395623,4065.040650406504,0.0,149.4981134761871,28.47583113832135,14.237915569160675,0.6527777777777778,201.68067226890756,1.146593032015914,237.9182156133829,90.9090909090909,512.5649604897843,883.733775200221,117.56061719324026,140.0,392.156862745098,0.7826780153982302,479.5539033457249,125.0,1781.2758906379452,161.64584864070537,0.5142857142857142,129.0,11.0,1761.5971814445095,180.6766339943087,1580.920547450201,2541.4679290951804,533.9218338435253,370.1858047981775,469.8512137823023,3714.4435238884284,1293.166789125643,2872.827081427264,1971.0738512735186,18699.18699186992,3560.371517027864,0.1183196821020193,0.9518574004884921
Contra Costa,159.7360882021009,0.4912699108660173,3745.395269082169,-1905.3952690821689,122.9212,-127.2899309510343,10671.169372341348,-11050.432411757469,196.25443262411343,27.655310621242485,100.10810810810811,146.6346153846154,234.10560344827584,206.99708454810494,691.0009182736455,68.27697262479872,16.258064516129032,248.99320140302257,490.399685435323,18.261601410113222,133.90132946957144,202.09270864967837,1304.1194567419523,97.62201032593377,203.66020006062445,28.68834711817434,8.525310700212184,2.4358030572034814,0.1353223920668601,41.94994154072663,11.096436149482528,30.8535053912441,57.106049452214954,36.63512457678618,0.3956568504369158,44.437056737588655,8.416833667334668,25.72972972972973,40.06410256410257,48.22198275862069,34.98542274052478,114.32506887052342,31.239935587761675,6.709677419354839,57.106049452214954,111.03911567451416,5.557878690034459,34.415244507298056,55.21658706275365,268.6275981091018,16.499494702974722,33.69527562464816,13.126272030485428,3.5183821937383626,0.6597277822257807,108.42955117631739,0.6164426488900849,123.11613475177305,55.31062124248497,169.01766769150825,307.64203868924,36.523202820226444,3089.0,268.16563937841823,0.5352127435880796,319.3705673758865,82.96593186372746,798.0417241245631,54.78480423033967,0.4043379734541923,2881.9999999999995,207.0,3254.851163263233,331.09098561704474,2923.760177646188,1558.7786342181614,294.7321699216213,420.1760273676006,524.3742692590829,2498.795460964628,660.328920554094,1337.567276018937,1378.2060130863313,5570.646056877017,471.6105569266941,0.08506774974183849,0.6843524737064017
Del Norte,203.09810671256454,0.6246302254221985,188.91176763058775,-70.91176763058775,7.88299,-4.737260636561414,13567.969018932876,-8153.632765165941,270.98321342925664,30.48780487804878,187.64302059496575,392.85714285714283,714.2857142857143,183.48623853210984,426.9005847953216,169.81132075471697,44.6927374301676,596.3210026278553,968.3777530208245,61.583938908732605,656.209987195903,296.4959568733154,484.49612403100775,784.313725490195,368.9104507782494,90.96422073984233,40.42854255104103,0.0,15.16070345664039,146.55346674752374,35.37497473216091,111.17849201536283,207.1962805740853,70.56798623063683,0.7621294453405884,91.12709832134293,18.29268292682927,68.64988558352402,35.714285714285715,142.85714285714286,82.56880733944955,116.95906432748538,66.0377358490566,33.5195530726257,207.1962805740853,325.6491558831091,36.95036334523956,240.07682458386682,26.954177897574127,96.89922480620154,352.94117647058823,101.0713563776026,35.37497473216091,30.32140691328078,0.4823529411764706,146.29948364888122,0.8317404273408612,167.86570743405278,91.46341463414635,429.55326460481103,599.880023995201,184.75181672619783,203.0,349.3975903614458,0.6973378221530016,438.84892086330933,121.95121951219512,1568.2577770160256,246.33575563493042,0.4187192118226601,183.0,20.0,2995.1797475806748,607.1310299150016,2388.0487176656734,2936.1229027693553,864.1600970285022,535.6781888012937,904.5886395795433,3573.571000085697,2019.9531962064293,3497.119078104994,754.7169811320755,678.2945736434109,4274.509803921569,0.21115800580321814,1.6987225364828369
El Dorado,199.08814589665656,0.6122975514799464,641.8448008653704,-248.84480086537042,26.254365,-16.62407692181107,13300.083586626139,-8421.518197472678,247.80553679945984,52.73833671399595,190.9090909090909,206.03015075376885,400.0,214.28571428571428,602.2988505747127,233.12883435582822,36.161335187760784,312.7362431862491,581.459828572334,41.5680757178487,311.4525553940616,280.0163912033875,2370.6896551724135,167.48548459133542,208.49082879083278,60.47825567978355,20.689929574662795,9.549198265228982,1.5915330442048303,77.98511916603668,8.753431743126567,69.23168742291013,93.900449608085,59.77710233029382,0.6455886341174297,72.92370020256584,20.28397565922921,61.21212121212121,55.276381909547744,90.9090909090909,14.285714285714285,147.1264367816092,82.82208588957054,12.517385257301807,93.900449608085,171.11079423926995,15.987721429941805,99.86256538031817,75.12634885944543,538.7931034482759,11.165698972755694,50.92905741455457,21.48569609676521,7.161898698921737,0.4972677595628415,185.41033434650456,1.0540930622344884,203.91627278865633,129.81744421906694,291.2505470894839,478.4764801875881,102.32141715162756,759.0,384.49848024316105,0.7673931939729001,451.7218095881161,182.5557809330629,1059.936308759922,143.88949286947624,0.48221343873517786,669.0,90.0,1945.0750721109025,224.28410050559887,1720.790971605304,1570.8431146301673,346.1584371145506,259.41988620538734,572.1561293916366,2346.4359839662848,788.1946664961309,1631.4181473022275,1359.103947548149,5926.724137931034,781.5989280928985,0.07673371467447253,0.6173068832021698
Fresno,225.93310471646538,0.6948594864506058,6542.329907908875,-1996.3299079088747,303.69553,-133.36481949785238,15093.461060583471,-6628.140723515346,290.3848714875482,36.25318440133256,173.37763878029708,215.9956474428727,328.37370242214536,301.7479300827967,746.5564738292011,267.8445229681979,63.462723351817615,731.2126130154559,1392.427696571454,59.965058198520005,427.9586805170242,774.3495886064634,3029.4324203537,434.4083173299781,479.4863175096951,121.92238466029816,49.70186920848567,29.917630008991377,1.6084747316662027,246.90087131076214,29.11339264315827,217.78747866760386,282.44816288058524,87.27200437354008,0.9425317036762957,110.60061259821548,18.61650009798158,65.87177482408131,92.31048240841494,105.5363321799308,88.31646734130635,215.37690959178562,128.26855123674912,42.719244197987265,282.44816288058524,530.3422160066924,30.792867723564324,162.5953498694895,330.93529857320726,973.6321266679437,127.14389775511556,138.32882692329343,58.38763275948317,33.456274418657024,0.664624808575804,129.8146215396849,0.7380208467012958,155.94619789585832,52.910052910052904,420.1335999112122,747.7793316602489,87.51657142486702,7158.0,355.7477262561503,0.7100116071399214,446.3310693834065,89.16323731138546,2140.2070282317027,147.48162962338702,0.36490639843531714,6702.999999999999,455.0,3826.429003345365,469.19725684190104,3357.231746503464,3236.4120075855667,642.2639603543148,455.1983490615354,783.1663468482741,4795.111017452441,1654.063199929987,2468.3614538050692,3585.024039946296,9225.563429738875,1439.6397589563605,0.19428528587627802,1.5629849901718202
