County,"Imprisonments per 1,000 annual adult felony arrests","County imprisonment rate as percent of state average (=100%), arrest based","County imprisonments if rate equalled state average, projected (number)",County actual imprisonments minus projected imprisonments at average state rate (number),Total imprisonment costs (millions of dollars),Costs added (saved) from excessive (lower) imprisonments (millions of dollars/year),Total imprisonment costs per adult felony arrest (actual dollars),Total imprisonment costs per adult felony arrest versus state average (actual dollars),"Men imprisoned per 1,000 male felony arrests","Women imprisoned per 1,000 female felony arrests","White, not Latino, imprisonments per 1,000 white felony arrests","Latino imprisonments per 1,000 latino felony arrests","Black imprisonments per 1,000 black felony arrests","Asian/other imprisonments per 1,000 asian/other felony arrests","Imprisonments for violent offenses per 1,000 violent felony arrests","Imprisonments for property offenses per 1,000 property felony arrests","Imprisonments for drug offenses per 1,000 drug felony arrests","Total adult imprisonments per 100,000/population age 18-69","Men imprisoned per 100,000 males","Women imprisoned per 100,000 females","White, not Latino, imprisonments per 100,000 whites","Latino imprisonments per 100,000 Latinos","Black imprisonments per 100,000 African Americans","Asian/other imprisonments per 100,000 asian/other population","Imprisonments for violent offenses per 100,000 population","Imprisonments for property offenses per 100,000 population","Imprisonments for drug offenses per 100,000 population","Imprisonments for drug possession offenses per 100,000 population","Imprisonments for marijuana offenses per 100,000 population","Imprisonments for strike offenses per 100,000 population","Imprisonments for 3rd strikes per 100,000 population","Imprisonments for 2nd strikes per 100,000 population",Change in imprisonment rates per adult felony arrest compared to 2009,"New felon and parole violator admissions per 1,000 adult felony arrests","New felon and parole violator admissions per 1,000 felonies as a percent of the state average (=100%)","Male new felon and parole violator admissions per 1,000 male felony arrests","Female new felon and parole violator admissions per 1,000 female felony arrests","White, not Latino, new felon and parole violator admissions per 1,000 white felony arrests","Latino new felon and parole violator admissions per 1,000 latino felony arrests","Black new felon and parole violator admissions per 1,000 black felony arrests","Asian/other new felon and parole violator admissions per 1,000 asian/other felony arrests","New felony and parole violator admissions for violent offenses per 1,000 violent felony arrests","New felony and parole violator admissions for propery offenses per 1,000 property felony arrests","New felony and parole violator admission for drug offenses per 1,000 drug felony arrests","New felon and parole violator admissions per 100,000 population","Male new felon and parole violator admissions per 100,000 male population","Female new felon and parole violator admissions per 100,000 female population","White, not Latino, new felon and parole violator admissions per 100,000 whites","Latino new felon and parole violator admissions per 100,000 Latinos","Black new felon and parole violator admissions per 100,000 African Americans","Asian/other new felon and parole violator admissions per 100,000 Asian/other population","New felony and parole violator admissions for violent offenses per 100,000 population","New felony and parole violator admissions for propery offenses per 100,000 population","New felony and parole violator admission for drug offenses per 100,000 population",Percent of jail population that is unsentenced,"County jail populations per 1,000 adult felony arrests","County jail incarceration rate per 1,000 felony arrests as a percent of the state average (=100%)","Men jailed per 1,000 male felony arrests","Women jailed per 1,000 female felony arrests","County jail populations per 100,000 population age 18-69","Men jailed per 100,000 males age 18-69","Women jailed per 100,000 females age 18-69",Total adult population incarcerated,"Total adult incarceration rate per 1,000 adult felony arrests",Total adult incarceration rate as a percent of the state average (=100%),"Total adult male incarceration rate per 1,000 adult male felony arrests","Total adult female incarceration rate per 1,000 adult female felony arrests","Total adult male incarceration rate per 100,000 males age 18-69","Total adult female incarceration rate per 100,000 females age 18-69",Percent of incarcerated adult population held locally,"Total incarcerated (state prison + local jails), adult males","Total incarcerated (state prison + local jails), adult females","Part I crime rate per 100,000 population (offenses reported to police)","Violent crime rate per 100,000 population","Property crime rate per 100,000 population","Adult felony arrest rate per 100,000 population age 18-69",Violent crime arrest rate,Property crime arrest rate,Drug offense arrest rate,Male felony arrest rate,Female felony arrest rate,"White, not Latino, felony arrest rate",Latino felony arrest rate,African American felony arrest rate,Asian/other felony arrest rate,"Percent of adults ages 18-64 living in households with incomes below poverty guidelines, 2010 Census",Adult poverty rate as percent of state adult poverty rate
Alameda,303.55184341516934,0.8949689664012954,4020.2511316875,-422.2511316875002,202.920004,-23.81411932491164,17119.716864928723,-2009.1216843762413,368.69491345439127,51.724137931034484,126.3051532502526,227.38095238095246,456.8653589792421,225.5166217430369,1076.2316910785619,77.83251231527095,14.076576576576576,333.96388586194803,654.9771047519062,23.023491083120778,99.93497564251527,244.06762334359863,1797.178751488909,75.18121368238184,300.0848368514947,21.9981770287053,4.640965617870316,1.0210124359314696,0.278457937072219,58.01207022337896,12.437787855892449,45.57428236748651,0.06894385772164413,57.62254281616472,0.6671656403004338,70.72316024211537,6.9786535303776684,23.576961940047152,60.31746031746034,78.46124547705199,44.025157232704416,156.7909454061252,33.825944170771756,6.193693693693694,63.39559034010853,125.63788933317092,3.1063440350242315,18.65452878660285,64.74394196898254,308.64428745870384,14.67681063919008,43.71789612033838,9.560389172812853,2.0420248718629392,0.6929637526652452,276.9762929216234,1.3800723855878858,319.6347031963473,112.06896551724138,304.725802469365,567.8228932324992,49.88423068009502,6881.0,580.5281363367927,1.0753054721935318,688.3296166507386,163.79310344827584,1222.7999979844053,72.90772176321579,0.47711088504577825,6482.0,399.0,3325.739253467521,772.985084031839,2552.754169435682,1100.1873093723366,278.82921432164864,282.6348061283023,329.6941974935073,1776.4744802559605,445.1208276070017,791.2185138203411,1073.386406327868,3933.7163918583838,333.37327023303175,0.10808363413811624,0.869510509142086
Alpine,90.9090909090909,0.26802938902305695,7.461868294703877,-5.461868294703877,0.112796,-0.3080384480847093,5127.090909090908,-14001.747640214056,100.0,0.0,66.66666666666667,0.0,****,200.0,400.0,0.0,0.0,256.73940949935815,483.3274163829891,0.0,166.38935108153078,0.0,****,699.3006993006993,256.73940949935815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,****,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,****,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,90.9090909090909,0.16838984505304364,100.0,0.0,483.3274163829891,0.0,0.0,2.0,0.0,3616.6365280289333,723.3273056057865,2893.3092224231464,2824.1335044929397,641.8485237483955,1026.9576379974326,898.5879332477535,4833.274163829891,547.6423804758018,2495.8402662229614,5714.285714285714,****,3496.5034965034965,0.14342629482071714,1.1538349133834764
Amador,273.9130434782608,0.8075842025781671,156.02088252562652,-30.02088252562652,7.106148,-1.6931177326802844,15448.147826086957,-3680.6907232180074,390.4761904761905,20.689655172413794,242.77456647398841,241.9354838709678,400.0,629.6296296296294,817.2043010752689,293.10344827586204,146.55172413793102,495.88728403321653,859.0065206389129,27.05107289376007,426.4825345247766,429.18454935622316,1133.7868480725624,1272.4550898203593,299.10661576606714,66.90542721083081,66.90542721083081,55.098587114801845,3.9356133653429892,212.52312172852137,51.16297374945885,161.36014797906253,-0.447972972972973,100.0,1.15782054677614,133.33333333333334,27.586206896551722,98.26589595375721,80.64516129032259,80.0,185.18518518518513,268.81720430107526,120.6896551724138,51.724137931034484,181.03821480577747,293.3192997303605,36.0680971916801,172.62388302193338,143.0615164520744,226.75736961451247,374.251497005988,98.39033413357471,27.549293557400922,23.613680192057934,0.5476190476190477,182.6086956521739,0.9098728832691128,225.3968253968254,89.6551724137931,330.5915226888111,495.8492924013237,117.2213158729603,210.0,456.52173913043475,0.8456098740707191,615.8730158730159,110.34482758620689,1354.8558130402364,144.2723887667204,0.4,194.0,16.0,1639.6589070768555,356.4475884949686,1283.2113185818866,1810.3821480577747,366.01204297689793,228.26557518989335,456.5311503797867,2199.8947479777034,1307.4685231984035,1756.7018683996753,1773.962804005722,2834.4671201814062,2020.958083832336,0.08854038641168084,0.7122891183514328
Butte,356.56836461126,1.0512788100287729,885.5880962487194,45.41190375128065,52.506538,2.561140547764726,20109.74262734584,980.9040780408759,455.4865424430642,75.11045655375547,301.5488867376572,519.8555956678701,771.8120805369127,411.7647058823529,925.3968253968254,232.47863247863248,122.0,617.0221226621424,1161.2891674445798,67.90208804459073,548.7101348435339,675.3271115696666,4969.749351771824,357.4033552151714,386.3844226767228,90.13427355752025,80.85574539718728,39.10236867568893,5.302016091618838,100.07555372930557,27.8355844809989,72.23996924830666,-0.4727370499288506,120.64343163538872,1.3968344398103565,149.58592132505174,38.29160530191455,104.5498547918683,148.01444043321303,268.4563758389262,151.26050420168067,234.9206349206349,90.59829059829059,55.0,208.76688360749176,381.37791976304953,34.61675076783056,190.24300020257357,192.28063593303006,1728.6084701815041,131.2910284463895,98.0872976949485,35.1258566069748,36.45136062987952,0.7537942664418212,227.11604749138257,1.1316368710134257,274.3271221532091,92.7835051546391,393.0119427912463,699.4127940291219,83.8790499374356,1524.0,583.6844121026426,1.0811518048522493,729.8136645962733,167.89396170839456,1860.7019614737017,151.7811379820263,0.38910761154855644,1410.0,114.0,1892.2806890561662,309.42385639837886,1582.8568326577877,1730.4455019020986,417.5337672149835,387.70992669962754,662.7520114523547,2549.5575812533275,904.0297604368067,1819.6390667523942,1299.0667354499833,6439.066551426102,867.9795769511306,0.1995118390101098,1.6050315304523675
Calaveras,174.81203007518798,0.5154023777642618,180.44154239920286,-87.44154239920286,5.245014,-4.931528108230243,9859.048872180452,-9269.789677124512,230.36649214659684,33.333333333333336,150.65502183406116,369.56521739130443,111.1111111111111,315.7894736842105,375.83892617449663,120.0,60.0,307.6617705438666,581.6417568002685,33.11606490816279,271.4718495495141,566.47784071976,421.94092827004215,381.4367450731087,185.25870054254335,39.69829297340214,29.773719730051607,13.232764324467382,0.0,56.239248378986375,3.3081910811168456,52.93105729786953,-0.3474688877365828,69.54887218045113,0.805251132156338,91.62303664921465,13.333333333333334,67.68558951965066,108.69565217391309,0.0,52.63157894736842,60.40268456375839,50.0,46.66666666666667,122.40307000132329,231.33478963647042,13.246425963265114,121.96561356572373,166.61112962345885,0.0,63.57279084551812,29.773719730051607,16.540955405584228,23.15733756781792,0.5362318840579711,129.69924812030075,0.6462443008181534,154.4502617801047,66.66666666666667,228.2651845970623,389.96435967290734,66.23212981632558,162.0,304.5112781954887,0.5640426764746688,384.81675392670155,100.0,971.6061164731758,99.34819472448837,0.42592592592592593,147.0,15.0,1729.3084955016084,221.08880765273733,1508.2196878488712,1759.9576551541616,492.92047108641,330.8191081116845,496.2286621675268,2524.8539897466203,993.4819472448836,1801.943581067789,1532.8223925358209,3797.46835443038,1207.8830260648442,0.08528908779973074,0.686133092658985
Colusa,189.60244648318042,0.5590093067698007,110.91049692582581,-48.91049692582581,3.496676,-2.758454205622724,10693.19877675841,-8435.639772546554,238.4937238493724,56.81818181818181,166.6666666666666,252.25225225225222,119.99999999999999,117.6470588235294,821.4285714285714,229.16666666666666,25.0,452.3896388179497,808.2899665170498,75.15321552014954,506.90438734486975,381.0560696788242,2631.578947368421,383.1417624521073,335.6439255746078,80.26267785479752,14.59321415541773,0.0,0.0,58.37285662167092,21.889821233126597,36.48303538854432,-0.4356020197709979,42.813455657492355,0.4957029863873383,50.2092050209205,22.727272727272727,40.22988505747125,54.054054054054056,39.99999999999999,0.0,160.71428571428572,41.666666666666664,12.5,102.15249908792411,170.16630874043156,30.061286208059816,122.35623142807202,81.65487207403375,877.1929824561403,0.0,65.66946369937979,14.59321415541773,7.296607077708865,0.6721311475409836,186.54434250764527,0.9294827837677045,209.20502092050208,125.0,445.0930317402408,709.0262864184648,165.337074144329,123.0,376.1467889908257,0.6967322946690154,447.69874476987445,181.8181818181818,1517.3162529355145,240.49028966447852,0.4959349593495935,107.0,16.0,1900.1490312965718,214.23248882265267,1685.9165424739194,2385.990514410799,408.60999635169645,350.23713973002555,583.7285662167092,3389.1456490802616,1322.696593154632,3041.4263240692194,1510.6151333696243,21929.82456140351,3256.7049808429115,0.1183196821020193,0.9518574004884921
Contra Costa,170.84942084942085,0.5037193247373474,3513.861615142371,-1743.8616151423712,99.82446,-98.35030737079946,9635.565637065636,-9493.272912239328,209.9670208867717,23.469857340082832,110.45218680504077,175.4042136207741,231.82441700960226,191.38755980861254,679.6733212341198,51.27334465195246,17.8125,245.72071134063555,488.2506218602258,13.8490346070404,126.55826634994068,211.95346496551315,1310.2806636687858,89.72767650181699,207.96024044535145,20.962614357308453,7.913039856732331,0.8329515638665612,0.13882526064442685,44.285258145572165,11.52249663348743,32.76276151208474,-0.0909165013181491,36.87258687258687,0.42691838693869255,45.193599609136434,5.522319374137138,27.18062762540153,41.646251837334624,44.9931412894376,36.68261562998406,109.34664246823957,26.825127334465197,5.0,53.031249566171056,105.0917568867269,3.2585963781271525,31.144092390365714,50.32414670968888,254.30299271204836,17.197804662848256,33.45688781530688,10.967195590909721,2.2212041703108296,0.7856650585802895,140.05791505791507,0.6978577802293644,156.3454256748504,78.6930510814542,201.43545319506336,363.56067247300115,46.43499838831193,3221.0,310.9073359073359,0.5758900193121996,366.3124465616221,102.16290842153705,851.8112943332269,60.28403299535233,0.45048121701334987,2999.0,222.0,2503.068884178954,409.77667498436324,2093.2922091945907,1438.2297002762623,305.9708744603168,408.84039259783714,444.24083406216596,2325.36814495036,590.0774941391919,1145.8194718528187,1208.3715698173532,5652.039075825707,468.8271097219936,0.08506774974183849,0.6843524737064017
Del Norte,293.18181818181813,0.8643947795993585,149.23736589407756,-20.237365894077556,7.275342,-1.141346961694186,16534.868181818183,-2593.9703674867815,382.44514106583074,57.85123966942149,256.9832402234636,434.7826086956522,888.8888888888888,380.0,565.2173913043478,285.7142857142857,102.94117647058823,649.2526045598671,1049.8530323868147,84.8657064662227,724.466493424679,267.5227394328518,723.9819004524887,816.5019338203695,392.5713422920127,100.65931853641351,70.46152297548946,15.098897780462027,10.065931853641352,90.59338668277216,35.23076148774473,55.362625195027434,-0.22654892877822796,111.36363636363636,1.2893910634552468,141.06583072100312,33.057851239669425,97.76536312849159,86.95652173913044,111.1111111111111,220.0,130.43478260869566,185.71428571428572,58.8235294117647,246.61533041421308,387.2408726016939,48.494689409270116,275.6122529333019,53.50454788657036,90.49773755656109,472.7116458960034,90.59338668277216,65.42855704866878,40.26372741456541,0.5217391304347826,209.09090909090907,1.0418241455613866,235.10971786833858,140.49586776859505,463.03286526750213,645.4014543361566,206.10242998939796,221.0,502.2727272727273,0.9303538939180661,617.5548589341693,198.34710743801654,1695.2544867229713,290.96813645562065,0.416289592760181,197.0,24.0,2266.179467359988,544.5857634741059,1721.593703885882,2214.5050078010972,694.5492979012532,352.3076148774473,684.4833660476119,2745.1075191097857,1466.964354630421,2819.1196157177737,615.3023006955591,814.4796380090498,2148.6892995272883,0.21115800580321814,1.6987225364828369
El Dorado,221.8410520297313,0.6540591379933717,593.2185294289582,-205.21852942895816,21.882424,-11.573914622734383,12511.391652372784,-6617.446896932181,279.05198776758414,52.15419501133787,203.84351407000685,282.4858757062147,306.45161290322574,415.0943396226415,595.0226244343892,192.92604501607715,71.83364839319471,315.7243758747518,592.2486053127022,37.543373583731245,300.4765132583997,350.45910142286397,2161.547212741752,247.10771650005617,214.00904859551474,48.82335709403378,30.921459492888065,14.647007128210136,0.0,81.37226182338964,13.83328450997624,67.53897731341341,-0.08289446402653944,75.47169811320754,0.8738268277555773,95.565749235474,15.873015873015872,67.9478380233356,96.045197740113,64.51612903225805,226.4150943396226,151.5837104072398,64.30868167202571,41.587901701323254,107.41138560687432,202.8248648331172,11.426244134179075,100.1588377527999,119.15609448377374,455.0625711035267,134.7860271818488,54.51941542167106,16.27445236467793,17.901897601145723,0.4839572192513369,213.8364779874214,1.0654695937652685,245.41284403669724,120.18140589569161,304.33225921947724,520.854252891445,86.51299130164156,762.0,435.67753001715266,0.8070003894994922,524.4648318042814,172.3356009070295,1113.1028582041472,124.05636488537282,0.49081364829396323,686.0,76.0,1285.2415980748724,242.82862533840142,1042.412972736471,1423.2008592910847,359.66539725938225,253.0677342707418,430.45926504573123,2122.3593856137386,719.8533804532817,1474.0548142002976,1240.6252190369385,7053.469852104666,595.3049533864989,0.07673371467447253,0.6173068832021698
Fresno,198.9915267453345,0.5866913506774903,6524.725472055386,-2696.7254720553856,215.891544,-152.0899231729796,11222.724125383376,-7906.114423921588,227.6214833759591,55.83281347473487,159.57007027697392,181.13312866313134,326.1126427727453,252.92529252925277,740.7812073204043,156.0917485850462,51.95638229634381,633.7695880000992,1196.092320902428,59.88059711528443,370.31351932153956,662.4882609938345,2701.997128312231,395.79137146640005,449.002905605086,86.7542487231066,40.23145503762386,24.171985331247257,1.6556154336470725,178.4753437471544,34.2712394764944,144.20410427066003,-0.5023278769465765,67.57810469407912,0.7824331812699392,75.54113904310398,27.76044915782907,52.91442744935923,70.89031537817466,85.46671918077986,58.505850585058475,189.83884184649003,71.19451891569854,25.016035920461835,215.23000637411943,396.9492465368156,29.773034319890023,122.79826547450018,259.278918786493,708.1320976373842,91.5531642182064,115.06527263847154,39.569208864165034,19.37070057367075,0.680759584378359,145.08499246244216,0.7229058832024368,157.00829642567527,85.46475358702432,462.0822675308979,825.0381944947687,91.66080228820074,6619.0,344.07651920777664,0.6373289093136691,384.6297798016343,141.2975670617592,2021.1305153971966,151.54139940348517,0.421664904064058,6166.0,453.0,3317.2777959295513,537.9483341940785,2779.329461735473,3184.9074097068733,606.1208102581932,555.7901010753222,774.3313383167358,5254.742668234261,1072.4982924670496,2320.69534517825,3657.46600792128,8285.471870512985,1564.8548530219596,0.19428528587627802,1.5629849901718202
