County,"Imprisonments per 1,000 annual adult felony arrests","County imprisonment rate as percent of state average (=100%), arrest based","County imprisonments if rate equalled state average, projected (number)",County actual imprisonments minus projected imprisonments at average state rate (number),Total imprisonment costs (millions of dollars),Costs added (saved) from excessive (lower) imprisonments (millions of dollars/year),Total imprisonment costs per adult felony arrest (actual dollars),Total imprisonment costs per adult felony arrest versus state average (actual dollars),"Men imprisoned per 1,000 male felony arrests","Women imprisoned per 1,000 female felony arrests","White, not Latino, imprisonments per 1,000 white felony arrests","Latino imprisonments per 1,000 latino felony arrests","Black imprisonments per 1,000 black felony arrests","Asian/other imprisonments per 1,000 asian/other felony arrests","Imprisonments for violent offenses per 1,000 violent felony arrests","Imprisonments for property offenses per 1,000 property felony arrests","Imprisonments for drug offenses per 1,000 drug felony arrests","Total adult imprisonments per 100,000/population age 18-69","Men imprisoned per 100,000 males","Women imprisoned per 100,000 females","White, not Latino, imprisonments per 100,000 whites","Latino imprisonments per 100,000 Latinos","Black imprisonments per 100,000 African Americans","Asian/other imprisonments per 100,000 asian/other population","Imprisonments for violent offenses per 100,000 population","Imprisonments for property offenses per 100,000 population","Imprisonments for drug offenses per 100,000 population","Imprisonments for drug possession offenses per 100,000 population","Imprisonments for marijuana offenses per 100,000 population","Imprisonments for strike offenses per 100,000 population","Imprisonments for 3rd strikes per 100,000 population","Imprisonments for 2nd strikes per 100,000 population",Change in imprisonment rates per adult felony arrest compared to 2009,"New felon and parole violator admissions per 1,000 adult felony arrests","New felon and parole violator admissions per 1,000 felonies as a percent of the state average (=100%)","Male new felon and parole violator admissions per 1,000 male felony arrests","Female new felon and parole violator admissions per 1,000 female felony arrests","White, not Latino, new felon and parole violator admissions per 1,000 white felony arrests","Latino new felon and parole violator admissions per 1,000 latino felony arrests","Black new felon and parole violator admissions per 1,000 black felony arrests","Asian/other new felon and parole violator admissions per 1,000 asian/other felony arrests","New felony and parole violator admissions for violent offenses per 1,000 violent felony arrests","New felony and parole violator admissions for propery offenses per 1,000 property felony arrests","New felony and parole violator admission for drug offenses per 1,000 drug felony arrests","New felon and parole violator admissions per 100,000 population","Male new felon and parole violator admissions per 100,000 male population","Female new felon and parole violator admissions per 100,000 female population","White, not Latino, new felon and parole violator admissions per 100,000 whites","Latino new felon and parole violator admissions per 100,000 Latinos","Black new felon and parole violator admissions per 100,000 African Americans","Asian/other new felon and parole violator admissions per 100,000 Asian/other population",Percent of new felon and parole violator admissions who are age 35 or older (2014),"New felony and parole violator admissions for violent offenses per 100,000 population","New felony and parole violator admissions for propery offenses per 100,000 population","New felony and parole violator admission for drug offenses per 100,000 population",Percent of jail population that is unsentenced,"County jail populations per 1,000 adult felony arrests","County jail incarceration rate per 1,000 felony arrests as a percent of the state average (=100%)","Men jailed per 1,000 male felony arrests","Women jailed per 1,000 female felony arrests","County jail populations per 100,000 population age 18-69","Men jailed per 100,000 males age 18-69","Women jailed per 100,000 females age 18-69",Total adult population incarcerated,"Total adult incarceration rate per 1,000 adult felony arrests",Total adult incarceration rate as a percent of the state average (=100%),"Total adult male incarceration rate per 1,000 adult male felony arrests","Total adult female incarceration rate per 1,000 adult female felony arrests","Total adult male incarceration rate per 100,000 males age 18-69","Total adult female incarceration rate per 100,000 females age 18-69",Percent of incarcerated adult population held locally,"Total incarcerated (state prison + local jails), adult males","Total incarcerated (state prison + local jails), adult females","Part I crime rate per 100,000 population (offenses reported to police)","Violent crime rate per 100,000 population","Property crime rate per 100,000 population","Adult felony arrest rate per 100,000 population age 18-69",Violent crime arrest rate,Property crime arrest rate,Drug offense arrest rate,Male felony arrest rate,Female felony arrest rate,"White, not Latino, felony arrest rate",Latino felony arrest rate,African American felony arrest rate,Asian/other felony arrest rate,"Percent of adults ages 18-64 living in households with incomes below poverty guidelines, 2011-2015 average",Adult poverty rate as percent of state adult poverty rate
Alameda,354.0852321479646,0.8150789546746172,4556.61378409978,-842.6137840997799,261.9097944,-59.42078700920285,24969.948936981604,-5665.057394337193,439.663578742077,46.82713347921225,153.84615384615387,254.6408393866021,513.0922693266833,282.10526315789474,996.1734693877551,126.04722010662606,65.14830508474577,332.1406437661923,657.3695740128522,18.78844387786458,92.05408310408497,251.52068368982037,1856.7958427025442,74.75801277580965,279.3773212508306,29.601118224719883,10.999811304049988,3.845462488407719,0.7154348815642269,52.31617571438409,11.357528744832102,40.958646969551985,0.24634013427653834,71.50347983601868,0.6108016588257663,88.98098488542175,8.752735229759299,32.9035126722988,60.9362389023406,97.67248545303408,57.89473684210526,145.40816326530611,44.93526275704494,11.652542372881356,67.07202014664627,133.04125007745552,3.511858668759735,19.68786748468869,60.18957723797604,353.4605289875236,15.342129487572876,0.40705563093622793,40.77978824916093,10.552664503072346,1.9674459243016236,0.830108359133127,246.35332252836304,0.9968365413936534,286.8113115553388,101.09409190371991,231.08546674524524,428.8302211400724,40.56196762417493,6298.0,600.4385546763276,0.8809852808722336,726.4748902974159,147.92122538293216,1086.1997951529247,59.35041150203951,0.41028898062877106,5960.0,338.0,4302.580943507942,597.5875466681978,3704.993396839744,938.0245590908968,280.4504735731769,234.84149987345748,168.84263204915754,1495.1649529252672,401.22985290579965,598.3515401765522,987.7468370576464,3618.834181889284,265.0004184217133,0.10808363413811624,0.869510509142086
Alpine,71.42857142857143,0.16442347787487613,6.081856514195531,-5.081856514195531,0.0705196,-0.3583704886384632,5037.114285714286,-25597.89204560451,76.92307692307693,0.0,0.0,****,****,500.0,166.66666666666666,****,0.0,120.48192771084338,228.83295194508008,0.0,0.0,0.0,****,552.4861878453038,120.48192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6428571428571428,71.42857142857143,0.6101617713736632,76.92307692307693,0.0,0.0,****,****,500.0,166.66666666666666,****,0.0,120.48192771084338,228.83295194508008,0.0,0.0,0.0,****,552.4861878453038,****,120.48192771084338,0.0,0.0,****,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71.42857142857143,0.104802597321926,76.92307692307693,0.0,228.83295194508008,0.0,0.0,1.0,0.0,3802.9386343993083,777.8738115816767,3025.064822817632,1686.7469879518073,722.8915662650603,361.44578313253015,120.48192771084338,2974.828375286041,254.4529262086514,2037.3514431239391,0.0,****,1104.9723756906076,0.14342629482071714,1.1538349133834764
Amador,351.64835164835165,0.8094694295378517,158.12826936908377,-30.128269369083768,9.0265088,-2.1246335046000397,24798.101098901097,-5836.905232417699,481.06060606060606,10.0,242.42424242424244,738.0952380952382,722.2222222222222,500.0,988.5057471264367,176.47058823529412,200.0,504.2745144387976,868.8513374837519,9.288500835965076,328.91355740569435,880.9320829781187,1462.3172103487066,1318.3915622940012,338.8094393885671,35.456801796477954,43.33609108458417,3.9396446440531063,0.0,216.68045542292086,55.15502501674349,161.52543040617735,-0.3077788353378904,96.15384615384616,0.8213716153107005,128.78787878787878,10.0,94.6969696969697,119.04761904761904,55.55555555555555,100.0,241.3793103448276,78.43137254901961,0.0,137.88756254185873,232.60586987753985,9.288500835965076,128.48185836159934,142.08581983518044,112.48593925759282,263.67831245880024,0.6046511627906976,82.73253752511523,15.758578576212425,0.0,0.5594325592037525,240.13736263736263,0.9716844716119555,259.5075757575757,188.99999999999997,344.364338336682,468.7008278032427,175.5526657997399,215.41,591.7857142857142,0.8682895188121567,740.5681818181818,198.99999999999997,1337.5521652869945,184.841166635705,0.4057843182767745,195.51,19.9,1838.452055528756,225.11657822801095,1613.335477300745,1434.0306504353307,342.74908403262026,200.92187684670844,216.68045542292086,1806.1161661079566,928.8500835965075,1356.768424298489,1193.5208866155158,2024.7469066366705,2636.7831245880025,0.08854038641168084,0.7122891183514328
Butte,413.6657433056325,0.9522290426881098,940.950086410537,-44.95008641053698,63.18556160000001,-3.169862113636504,29171.542751615885,-1463.4635797029114,505.6988602279544,106.21242484969939,345.2102803738318,643.8356164383562,657.7181208053692,767.4418604651163,1005.2724077328647,349.65034965034965,147.32142857142858,577.2005772005772,1076.1885308686105,68.92067620286086,505.7160460021906,640.9964995226622,4338.202744577246,467.687074829932,368.48072562358277,96.6295609152752,63.77551020408163,13.528138528138529,3.865182436611008,91.47598433312719,25.12368583797155,66.35229849515564,-0.41290697799370923,155.12465373961217,1.3251158691328306,185.9628074385123,52.104208416833664,133.76168224299064,232.8767123287671,201.34228187919462,302.3255813953488,293.4973637961336,156.17715617715618,47.61904761904761,216.45021645021646,395.75141704539647,33.81014304291288,195.9542716319825,231.84979769968632,1328.0212483399735,184.24036281179139,0.5,107.58091115233974,43.16120387548959,20.614306328592043,0.5817555938037866,268.2363804247461,1.0853834768466393,301.7396520695861,156.312625250501,374.2784992784993,642.1385895930143,101.43042912873862,1477.0,681.9021237303787,1.0005115916079343,807.4385122975405,262.52505010020036,1718.3271204616246,170.35110533159948,0.3933649289099526,1346.0,131.0,3708.7220263590702,346.7594924296787,3361.962533929391,1395.330859616574,366.54813440527727,276.36054421768705,432.9004329004329,2128.1213297247614,648.8946684005201,1464.9507119386637,995.5903077692412,6595.838866755202,609.4104308390023,0.1995118390101098,1.6050315304523675
Calaveras,240.43715846994533,0.553469193283736,158.99710601396887,-70.99710601396887,6.2057248000000005,-5.006687517262679,16955.532240437158,-13679.474090881638,293.28621908127207,60.24096385542169,231.5112540192926,294.11764705882354,0.0,428.57142857142856,364.2384105960265,276.59574468085106,166.66666666666666,291.6514764855997,549.5960799894054,33.17629885210006,288.73917228103943,305.15715593530666,0.0,353.56511490866234,182.28217280349983,43.084877208099954,19.885327942199982,3.3142213236999964,3.3142213236999964,43.084877208099954,6.628442647399993,36.45643456069996,-0.10251153986582551,139.34426229508196,1.1903155867781297,166.07773851590105,48.19277108433735,128.61736334405143,205.88235294117646,142.85714285714286,214.28571428571428,158.94039735099338,127.6595744680851,55.55555555555555,169.02528750869982,311.2170573433982,26.541039081680047,160.41065126724416,213.61000915471467,380.22813688212926,176.78255745433117,0.6470588235294118,79.54131176879993,19.885327942199982,6.628442647399993,0.5111111111111111,245.9016393442623,0.9950088643872156,243.81625441696113,253.01204819277106,298.2799191329997,456.89312673818034,139.34045517882026,178.0,486.3387978142076,0.7135739686509277,537.1024734982333,313.2530120481928,1006.4892067275857,172.5167540309203,0.5056179775280899,152.0,26.0,2086.9061671752156,287.3115214147308,1799.5946457604846,1213.0050044741988,500.44741987869946,155.76840221389983,119.31196765319989,1873.923983578334,550.7265609448609,1247.1928136028232,1037.5343301800426,2661.596958174905,824.9852681202121,0.08528908779973074,0.686133092658985
Colusa,215.547703180212,0.49617544206764735,122.94038525123821,-61.94038525123821,4.3016956,-4.368011191763219,15200.33780918728,-15434.668522131517,277.77777777777777,14.925373134328359,195.6521739130435,284.4036697247707,133.33333333333334,47.61904761904761,807.0175438596491,181.8181818181818,166.66666666666666,428.37078651685397,816.6598611678237,14.507471347744088,492.61083743842363,388.13071240766243,1626.0162601626018,154.08320493066256,323.03370786516854,56.17977528089888,21.06741573033708,0.0,7.02247191011236,42.13483146067416,7.02247191011236,35.1123595505618,-0.3582979958910032,63.60424028268551,0.5433242628486329,83.33333333333333,0.0,65.21739130434783,82.56880733944955,0.0,0.0,140.35087719298244,113.63636363636363,55.55555555555555,126.40449438202246,244.9979583503471,0.0,164.20361247947454,112.6831100538375,0.0,0.0,0.5161290322580645,56.17977528089888,35.1123595505618,7.02247191011236,0.6363636363636364,310.9540636042403,1.2582350021273434,356.48148148148147,164.17910447761193,617.9775280898876,1048.0468218320402,159.58218482518498,149.0,526.5017667844522,0.7725025371503095,634.2592592592594,179.1044776119403,1864.706682999864,174.08965617292904,0.5906040268456376,137.0,12.0,1899.3309685240895,220.01706254770778,1679.3139059763816,1987.359550561798,400.2808988764045,308.9887640449438,126.40449438202246,2939.975500204165,972.0005802988538,2517.7887246852765,1364.7176662075874,12195.121951219511,3235.7473035439134,0.1183196821020193,0.9518574004884921
Contra Costa,216.67638483965015,0.49877358676166506,3725.1371149447627,-1867.1371149447627,131.02541680000002,-131.66976249105872,15279.931988338194,-15355.074342980603,263.61367972992804,35.187287173666284,150.99901735997378,184.76658476658477,296.3593058863559,273.7226277372263,645.973154362416,69.6225723708318,59.86509274873524,248.05746175002005,490.77072317634685,16.185242713377626,133.80586249633558,200.8901141761101,1296.0923782030297,99.9187327640186,205.60198659581854,25.36647886571787,9.479052628768258,2.403140103068009,0.13350778350377826,41.52092066967504,10.547114896798483,30.97380577287656,0.1543760513566872,52.82798833819242,0.4512706651955419,63.408190224570674,11.91827468785471,39.96069439895185,47.665847665847664,67.36985369173189,65.69343065693431,119.12751677852349,34.44485159399047,18.54974704890388,60.47902592721155,118.04730089765135,5.482098338402099,35.41066209230573,51.825375199687976,294.6340882711824,23.980495863364464,0.42417061611374407,37.91621051507303,12.549731649355158,2.9371712370831218,0.7580882352941176,158.600583090379,0.6417565433590935,170.5562894466461,112.37230419977298,181.57058556513846,317.5253788034048,51.68835576207693,3218.0,375.2769679300292,0.5506200133582985,434.16996917657417,147.55959137343928,808.2961019797516,67.87359847545456,0.4226227470478558,2958.0,260.0,3239.5544023451002,339.15847869336244,2900.3959236517376,1144.8292435448986,318.2825558730074,364.3427411818109,158.340231235481,1861.70430790671,459.974155822119,886.1373062935196,1087.2643147563406,4373.381744590934,365.03643703121463,0.08506774974183849,0.6843524737064017
Del Norte,342.76729559748424,0.789025871814657,138.14502653672704,-29.145026536727045,7.6866364,-2.0552956133593767,24171.812578616355,-6463.193752702442,431.53526970954357,64.93506493506493,280.9917355371901,823.5294117647059,1250.0,400.0,462.5,260.0,208.33333333333334,549.063066693532,888.9648687922044,61.327118851956335,546.1847389558233,372.1424774056353,484.9660523763337,843.234955921809,372.7584122506549,65.48458593592585,50.37275841225066,5.037275841225066,5.037275841225066,146.0809993955269,35.26093088857546,110.82006850695146,-0.10270341466627164,128.9308176100629,1.1013611848065492,153.52697095435687,51.948051948051955,90.9090909090909,470.5882352941176,0.0,200.0,168.75,120.0,41.666666666666664,206.52830949022768,316.2663475510728,49.06169508156506,176.70682730923696,212.65284423179162,0.0,421.6174779609045,0.4878048780487805,136.00644771307677,30.22365504735039,10.074551682450132,0.5882352941176471,320.75471698113205,1.2978920658736384,348.5477178423236,233.76623376623377,513.8021358049567,718.0100863321651,220.7776278670428,211.0,663.5220125786163,0.973543624179149,780.0829875518672,298.7012987012987,1606.9749551243697,282.10474671899914,0.4834123222748815,188.0,23.0,2706.5894760131273,523.6181275120764,2182.9713485010507,1601.8537175095707,805.9641345960106,251.86379206125326,241.78924037880313,2060.0051286434737,944.4376303201276,1943.7751004016066,451.88729399255715,387.97284190106694,2108.087389804523,0.21115800580321814,1.6987225364828369
El Dorado,292.0353982300885,0.6722446617539183,589.0712452320814,-193.07124523208142,27.9257616,-13.61530698526829,20594.21946902655,-10040.786862292247,361.86770428015564,73.17073170731707,292.6374650512582,233.12883435582822,465.51724137931035,274.19354838709677,590.6040268456376,308.33333333333337,148.64864864864865,314.0862944162437,587.5848996998894,38.23482555360841,310.80492536722494,253.19829424307036,2863.202545068929,186.79266014723657,209.39086294416245,58.69289340101523,26.173857868020306,3.17258883248731,0.7931472081218275,77.72842639593908,9.51776649746193,68.21065989847715,0.20725671033521498,100.29498525073747,0.8567463220467956,122.568093385214,30.48780487804878,102.51630941286113,85.88957055214725,86.20689655172414,112.90322580645162,165.5480984340045,104.16666666666667,45.04504504504504,107.86802030456853,199.0206918338335,15.931177314003504,108.88070633883675,93.28358208955224,530.2226935312832,76.91462476650918,0.5932203389830508,58.69289340101523,19.828680203045685,7.931472081218273,0.5368956743002544,289.82300884955754,1.1727309491619824,317.1206225680934,204.2682926829268,311.7068527918782,514.9265518875375,106.73888800382349,789.0,581.858407079646,0.853723812697636,678.988326848249,277.4390243902439,1102.511451587427,144.9737135574319,0.49809885931558934,698.0,91.0,1905.0999235557497,184.55826143933604,1720.5416621164136,1075.507614213198,354.53680203045684,190.35532994923858,176.07868020304568,1623.7561206760383,522.5426158993149,1062.0817991051986,1086.087420042644,6150.583244962884,681.2438193605099,0.07673371467447253,0.6173068832021698
Fresno,389.22888616891066,0.8959771401455918,4613.957002662195,-479.957002662195,291.52802640000004,-33.84637584493693,27448.265361077116,-3186.7409702416808,465.47674964772193,80.76009501187649,318.59504132231405,365.53998351195384,567.7252106286454,455.31197301854974,723.38283413038,347.0948012232416,289.29384965831434,656.2300583209781,1249.6335269992087,54.35668859053107,373.1921237584464,704.5924042587001,2752.3800546705625,351.1555619139279,456.2179941012315,108.1017585187678,40.31989231096479,11.905480013080155,1.1111781345541478,211.91754423282674,29.84306989945425,182.07447433337248,-0.029596394492867995,135.10968835326238,1.1541427348551823,156.88116486613436,47.03087885985748,114.87603305785125,137.51030502885408,165.26247569669474,114.67116357504216,200.1006795872137,129.4597349643221,86.56036446469248,227.79151758360027,421.1681110168877,31.654777473309267,134.56214060291583,265.0564118862228,801.2065227636912,88.43917855610034,0.4458997722095672,126.19808813864964,40.31989231096479,12.06421974658789,0.6776315789473685,243.29159212880145,0.9844476492494146,267.14419915453266,146.79334916864607,410.18347138398826,717.1837219786074,98.80127514396528,6718.0,632.5204782977121,0.9280570457887001,732.6209488022546,227.55344418052258,1966.817248977816,153.15796373449635,0.38463828520392973,6239.0,479.0,3949.0196118473655,533.8196388038274,3415.1999730435373,1685.9747095856574,630.6729612262327,311.4473571421768,139.37348601979167,2684.6314621405804,673.0637028415758,1171.3682743131524,1927.5385348800255,4848.084959311277,771.2416600554045,0.19428528587627802,1.5629849901718202
