County,"Part I crime rate per 100,000 population (offenses reported to police)","Violent crime rate per 100,000 population","Property crime rate per 100,000 population","Adult felony arrest rate per 100,000 population age 18-69",Violent crime arrest rate,Property crime arrest rate,Drug offense arrest rate,Male felony arrest rate,Female felony arrest rate,"White, not Latino, felony arrest rate",Latino felony arrest rate,African American felony arrest rate,Asian/other felony arrest rate,"Percent of adults ages 18-64 living in households with incomes below poverty guidelines, 2010 Census",Adult poverty rate as percent of state adult poverty rate,,Raw numbers,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other/unknown race",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Jailed, unsentenced"
San Diego,2144.2502929926263,325.94082503521145,1818.309467957415,1328.2018740115996,367.8863462929385,246.53997640965014,391.3318590119029,1976.7415058979554,651.6793667233854,1179.8037108040323,1360.7413804905543,4702.490077069576,592.9608041305735,0.11684824982939411,0.9400200318180096,,San Diego,9262.0,5383.0,8803.999999999996,458.0000000000001,2568.0,3282.0,2583.999999999999,828.0,6205.0,1716.0,739.0,182.0,45.0,3445.0,489.0,2956.0,2790.0,2575.0,215.0,851.0,1044.0,671.0,224.0,1287.0,737.0,413.0,2599.0
San Francisco,6191.744809698734,800.6384451981645,5391.106364500569,1175.9635319174372,278.41833219554087,190.48847473943505,172.3991480713632,1900.903803023212,398.13486370157824,1150.5232090152938,31.234382808595704,9609.520708132271,434.6635333197869,0.11743235932636845,0.9447190720580877,,San Francisco,990.0,1125.0,963.9999999999998,26.0,140.0,139.0,563.0000000000001,147.9999999999999,814.0,117.0,28.0,8.0,2.0,180.0,41.0,139.0,129.0,127.0,2.0,12.0,27.0,76.0,14.0,90.0,21.0,6.0,957.0
San Joaquin,4244.270764339648,745.4455452447519,3498.8252190948956,1683.5024090051108,481.8010222111133,384.6220146005533,331.83075769459504,2691.859990636262,668.4567124555191,1779.4599812812346,1486.7514935923746,4824.886569200201,652.388564980252,0.1437333806062755,1.1563053550916995,,San Joaquin,2985.0,1244.0,2861.9999999999995,123.0,621.0,1139.0000000000002,876.0,349.0,2126.0,431.0,163.0,27.0,14.0,737.0,92.0,645.0,900.0,855.0,45.0,222.0,366.0,232.0,80.0,384.0,224.0,74.0,819.0
San Luis Obispo,2492.433683460922,427.637674261444,2064.7960091994782,1277.9469425210643,318.57428881288064,253.92091432385084,507.3204304663385,1885.292334602121,607.6493621875377,1273.0137361214872,1307.073873691662,2498.451373115837,753.8511963290724,0.1508722242491327,1.21373587748378,,San Luis Obispo,676.0,520.0,642.0000000000001,34.0,347.0,235.0,75.0,19.0,446.0,105.0,60.0,26.0,2.0,248.0,54.0,194.0,249.0,230.0,19.0,142.0,85.0,17.0,5.0,139.0,42.0,37.0,238.0
San Mateo,2086.6931075653392,206.85387317644597,1879.8392343888931,964.5057178462058,228.39935686515003,238.03065504621057,325.6951242044351,1534.8255358231527,402.09872109183465,735.2834258294356,1296.7546543268713,6248.185776487664,530.9991234099981,0.06296905406783192,0.5065730320720907,,San Mateo,1229.0,793.0,1176.0,53.0,249.0,419.0,326.0,235.0,897.0,155.0,92.0,32.0,3.0,375.0,78.0,297.0,368.0,339.0,29.0,84.0,129.0,85.0,70.0,177.0,91.0,53.0,516.0
Santa Barbara,2358.4734211721943,293.9572921399364,2064.516129032258,1355.2169767300318,378.0270908144151,237.36584772067923,448.357712361283,2077.8584620272854,600.648340786718,1134.6964810942982,1558.9490052230772,5108.832523835223,709.2497994680626,0.14945797749976367,1.202358554534729,,Santa Barbara,1210.0,798.0,1154.0000000000002,56.0,303.00000000000006,731.0,127.0,49.0,868.0,156.0,94.0,36.0,2.0,343.0,67.0,276.0,359.0,334.0,25.0,82.0,238.0,31.0,8.0,212.0,58.0,43.0,567.0
Santa Clara,2527.9471544715448,247.50169376693765,2280.4454607046073,1065.5034828948553,269.625789475745,223.18719140455224,347.1539717531158,1675.482823978296,441.4017754301132,828.4464092385421,1983.8119978832926,5466.399197592778,339.16081679986524,0.08451970008384926,0.6799435274218568,,Santa Clara,4240.0,3647.0,4126.999999999998,113.00000000000001,774.9999999999999,2126.0,710.0,629.0,3183.0,598.0,246.0,77.0,9.0,1413.0,409.0,1004.0,1035.0,980.0,55.0,174.0,607.0,148.0,106.0,548.0,271.0,113.0,2617.0
Santa Cruz,3405.4634519483957,418.8793598022919,2986.584092146104,1424.2184387917166,337.81861261568866,257.1146255283266,486.2932555264124,2262.37847151003,571.0348571368918,1293.0114184693955,1686.4608076009501,9916.434540389972,433.0123440832417,0.13009504331087585,1.0465877489051731,,Santa Cruz,622.0,397.0,599.0,23.0,256.0,300.0,42.0,24.0,443.0,87.0,50.0,14.0,2.0,139.0,13.0,126.0,173.0,159.0,14.0,83.0,67.0,20.0,3.0,85.0,32.0,26.0,265.0
Shasta,3895.8067054758967,711.6265830203107,3184.180122455586,2299.006132374709,357.79234510467325,448.2977373651935,560.7950941002326,3434.8138762371154,1190.1776908546879,2379.974536941969,1393.0144422820854,15088.757396449704,1104.257859132511,0.1647677558355051,1.3255225586109805,,Shasta,1232.0,330.0,1167.9999999999998,64.00000000000001,967.9999999999998,78.0,86.0,100.00000000000023,716.0,256.0,142.0,59.0,4.0,486.0,66.0,420.0,379.0,351.0,28.0,301.0,31.0,24.0,23.0,177.0,85.0,57.0,245.0
Sierra,1262.6262626262626,347.22222222222223,915.4040404040404,2222.222222222222,589.5691609977324,272.10884353741494,453.51473922902494,3306.5236818588023,1104.9723756906076,2124.352331606218,2631.578947368421,0.0,3750.0,0.09781576448243115,0.7869076188588955,,Sierra,12.0,2.0,12.0,0.0,9.0,1.0,0.0,2.0,4.0,5.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,4.0,1.0,4.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
Siskiyou,1928.9795003920688,306.9340203875882,1622.0454800044806,2942.6704141410723,717.8896752565101,419.89773458399645,805.9327486370255,4260.922412046728,1616.6281755196305,2775.645945254541,3216.180371352785,12068.96551724138,2711.864406779661,0.18242318223303924,1.4675568167894508,,Siskiyou,177.0,102.0,162.0,15.000000000000002,130.0,13.0,9.0,25.0,114.0,41.0,8.0,1.0,2.0,52.0,7.0,45.0,57.0,47.0,10.0,35.0,9.0,3.0,10.0,31.0,15.0,5.0,92.0
Solano,3656.3303243753785,495.51475736458514,3160.815567010794,1866.226484591354,464.16927001623395,426.3127020722208,565.1201178669359,2890.1694915254234,829.7188975513341,1681.4977937504605,1370.2464970311325,4986.544986544986,590.5414123368568,0.0924984446883631,0.7441308795469731,,Solano,1015.0,834.0,981.9999999999999,33.0,255.0,174.0,495.0,91.0,788.0,121.0,52.0,15.0,2.0,185.0,36.0,149.0,256.0,247.0,9.0,80.0,44.0,113.0,19.0,145.0,54.0,29.0,609.0
Sonoma,2090.6469471209393,365.9234996835093,1724.7234474374304,1421.8785163362588,336.6914801273115,269.1778239559495,586.8719549441331,2170.3211087394966,682.2170310193741,1389.9103780855703,1349.7680646549663,6760.672203979138,875.6234057943427,0.10332122918008192,0.8311979450538945,,Sonoma,955.0,1015.0,912.9999999999994,42.0,425.9999999999999,333.0,92.0,104.00000000000011,678.0,143.0,41.0,8.0,1.0,245.0,24.0,221.0,260.0,243.0,17.0,129.0,81.0,28.0,22.0,122.0,60.0,27.0,491.0
