County,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other/unknown race",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,"Part I crimes reported to police (number), as defined by the Criminal Justice Statistics Center",Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), July 1, 2016","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3","Male population, age 18-69","Female population, age 18-69","Estimated cost per prisoner per year, 2016-17"
Glenn,102.0,92.0,95.0,7.0,53.0,39.0,3.0,7.0,66.0,12.0,10.0,4.0,0.0,34.0,1.0,33.0,32.0,24.0,8.0,16.0,12.0,0.0,4.0,16.0,6.0,4.0,70.0,22.0,73.0,19.0,662.0,103.0,559.0,313.0,125.0,63.0,35.0,238.0,75.0,188.0,95.0,16.0,14.0,29073.0,10068.0,7249.0,142.0,1085.0,18544.0,9442.0,9102.0,73694.0
Humboldt,389.0,369.0,371.0,18.0,253.0,28.0,22.0,86.0,296.0,33.0,24.0,3.0,1.0,45.0,3.0,42.0,124.0,117.0,7.0,81.0,8.0,8.0,27.0,66.0,18.0,15.0,260.0,109.0,315.0,54.0,4683.0,682.0,4001.0,1360.0,418.0,207.0,226.0,1066.0,294.0,1016.0,111.0,70.0,163.0,136086.0,73208.0,9283.0,1165.0,10621.0,94277.0,47926.0,46351.0,73694.0
Imperial,372.0,434.0,358.0,14.0,55.0,265.0,39.0,13.0,274.0,37.0,32.0,0.0,0.0,93.0,13.0,80.0,136.0,128.0,8.0,17.0,105.0,10.0,4.0,77.0,23.0,14.0,241.0,193.0,392.0,42.0,5871.0,676.0,5195.0,1715.0,414.0,275.0,446.0,1358.0,357.0,269.0,1310.0,93.0,43.0,187157.0,15437.0,94425.0,4088.0,3369.0,117319.0,60553.0,56766.0,73694.0
Inyo,40.0,52.0,35.0,5.0,14.0,7.0,0.0,19.0,29.0,3.0,3.0,0.0,0.0,11.0,0.0,11.0,16.0,15.0,1.0,6.0,4.0,0.0,6.0,10.0,1.0,1.0,24.0,28.0,42.0,10.0,448.0,114.0,334.0,199.0,114.0,28.0,11.0,152.0,47.0,110.0,27.0,1.0,61.0,18649.0,7763.0,2387.0,83.0,1708.0,11941.0,6082.0,5859.0,73694.0
Kern,3939.0,2155.0,3746.0,193.0,1054.0,1920.0,861.0,104.0,2546.0,570.0,279.0,61.0,2.0,1567.0,258.0,1309.0,1410.0,1288.0,122.0,427.0,718.0,239.0,26.0,599.0,323.0,112.0,1468.0,687.0,1891.0,264.0,37698.0,5128.0,32570.0,9340.0,3232.0,2551.0,920.0,7535.0,1805.0,3370.0,4400.0,1365.0,205.0,888994.0,219281.0,283013.0,32295.0,38674.0,573263.0,298784.0,274479.0,73694.0
Kings,1261.0,437.0,1208.0,53.0,283.0,694.0,210.0,74.0,879.0,93.0,104.0,19.0,4.0,475.0,95.0,380.0,416.0,383.0,33.0,89.0,240.0,45.0,42.0,204.0,55.0,39.0,353.0,84.0,372.0,65.0,3806.0,639.0,3167.0,1562.0,483.0,266.0,122.0,1209.0,353.0,351.0,949.0,190.0,72.0,149407.0,33620.0,47531.0,6892.0,6193.0,94236.0,54091.0,40145.0,73694.0
Lake,338.0,275.0,329.0,9.0,220.0,45.0,29.0,44.0,201.0,37.0,26.0,2.0,1.0,74.0,9.0,65.0,137.0,133.0,4.0,90.0,21.0,7.0,19.0,64.0,15.0,10.0,176.0,99.0,232.0,43.0,2125.0,379.0,1746.0,1027.0,299.0,152.0,315.0,797.0,230.0,635.0,221.0,56.0,115.0,65128.0,31392.0,7478.0,742.0,2898.0,42510.0,21370.0,21140.0,73694.0
Lassen,125.0,82.2,123.0,2.0,53.0,38.0,19.0,15.0,81.0,13.0,17.0,1.0,1.0,53.0,13.0,40.0,25.0,23.0,2.0,12.0,8.0,2.0,3.0,13.0,5.0,5.0,47.599999999999994,34.6,71.5,10.7,738.0,225.0,513.0,292.0,108.0,66.0,40.0,213.0,79.0,227.0,27.0,14.0,24.0,30645.0,14687.0,4123.0,2215.0,1356.0,22381.0,14917.0,7464.0,73694.0
Los Angeles,42750.0,15748.0,40864.0,1886.0,4116.0,20541.0,15737.0,2356.0,33334.0,4643.0,1543.0,322.0,50.0,13955.0,2655.0,11300.0,10193.0,9452.0,741.0,1287.0,5264.0,3272.0,370.0,5219.0,2153.0,686.0,9907.0,5841.0,13723.0,2025.0,308575.0,56351.0,252224.0,70304.0,25865.0,18451.0,8673.0,56873.0,13431.0,11926.0,36326.0,18260.0,3792.0,10229245.0,1917019.0,3378802.0,588081.0,1141046.0,7024948.0,3496896.0,3528052.0,73694.0
Madera,605.0,402.0,512.0,93.0,141.0,336.0,87.0,41.0,434.0,45.0,48.0,3.0,2.0,225.0,30.0,195.0,196.0,175.0,21.0,42.0,118.0,24.0,12.0,94.0,29.0,17.0,289.0,113.0,354.0,48.0,4729.0,1024.0,3705.0,1263.0,403.0,175.0,338.0,1051.0,212.0,412.0,722.0,96.0,33.0,155693.0,36350.0,54266.0,3914.0,4508.0,99038.0,47304.0,51734.0,73694.0
