County,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other","Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,Part I crimes reported to police (number),Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), 2011 census adjusted","White, not Latino population",Latino population,Black population,Asian/other population,"Total adult population, age 18-69","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,,Sources:
Alameda,3329.0,3775.0,143.0,3271.0,344.0,181.0,31.0,9.0,621.0,484.0,137.0,999.0,104.0,203.0,617.0,75.0,2458.0,871.0,3071.0,258.0,43811.0,10785.0,33026.0,12655.0,2960.0,3036.0,3791.0,10090.0,2565.0,3082.999999999999,2649.0,5762.999999999995,1160.0,1525655.0,377868.60272295703,227944.23509679615,132056.50989346363,329565.30194220087,1067434.6496554178,526173.5262173739,551908.7469898205,51889.0,,
Alpine,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,7.0,51.0,22.0,8.0,8.0,4.0,20.0,2.0,21.0,0.0,0.0,1.0,1109.0,607.396291972115,33.092286548072074,0.0,140.85545637438076,781.3440348945678,410.86568313411254,354.2703351599689,,,
Amador,99.0,139.0,16.0,75.0,25.0,34.0,19.0,2.0,54.0,41.0,13.0,55.0,41.0,8.0,4.0,2.0,62.0,37.0,83.0,16.0,623.0,98.0,525.0,450.0,90.0,50.0,138.0,310.0,140.0,349.9999999999999,56.00000000000001,9.0,35.0,37366.0,20181.866778478914,3417.2119854487555,877.3579770840399,1320.4320352713148,25796.868776283023,14993.740930125821,11564.03761289461,,,
Butte,588.0,1030.0,108.0,582.0,214.0,246.0,124.0,21.0,164.0,122.0,42.0,408.0,283.0,61.0,42.0,22.0,431.0,157.0,527.0,61.0,3718.0,576.0,3142.0,2079.0,536.0,462.0,719.0,1572.0,507.0,1643.9999999999995,196.99999999999994,149.0,88.99999999999999,220570.0,114349.68110584868,20382.709415848447,2271.925037903272,13187.39853100013,150191.71409060052,75020.47588215585,73814.40666454066,,,
Calaveras,71.0,102.0,6.0,65.0,16.0,15.0,9.0,1.0,14.0,13.0,1.0,46.0,41.0,3.0,0.0,2.0,33.0,38.0,57.0,14.0,817.0,120.0,697.0,421.0,143.0,68.0,118.0,308.0,113.0,355.0,41.0,13.0,12.0,45002.0,25466.586446090834,2964.2603771100617,227.12327522862512,1548.0959580974486,30206.06605652697,15392.8605440141,15326.716331741585,,,
Colusa,58.0,72.0,5.0,51.0,15.0,5.0,2.0,1.0,317.0,231.0,86.0,17.0,5.0,9.0,2.0,1.0,38.0,20.0,50.0,8.0,372.0,45.0,327.0,263.0,46.0,46.0,50.0,208.0,55.0,130.0,105.00000000000003,13.999999999999998,14.000000000000007,21564.0,5745.932895687923,7182.276680240424,102.27285927149657,514.9022386335164,13545.38467383336,6964.019875200165,6638.567750767994,,,
Contra Costa,1351.0,1787.0,65.0,1468.0,208.0,92.0,9.0,3.0,7.0,4.0,3.0,532.0,149.0,138.0,217.0,28.0,957.0,394.0,1188.0,163.0,24061.0,3928.0,20133.0,9880.0,2217.0,2742.0,2927.0,7713.0,2167.0,3920.0000000000005,1960.0,3439.0000000000014,561.0000000000002,1061132.0,351859.9975679625,164343.93560731696,63694.75561162902,132073.20764089643,711971.896427805,343373.7768394772,365987.4169060178,,,
Del Norte,102.0,111.0,5.0,75.0,16.0,10.0,1.0,1.0,15.0,9.0,6.0,28.0,18.0,2.0,2.0,6.0,57.0,45.0,84.0,18.0,683.0,160.0,523.0,520.0,168.0,85.0,172.0,382.0,138.0,424.99999999999994,24.000000000000004,13.0,58.0,28520.0,12847.295616858226,3717.259636127201,1062.9973538536844,2282.540527397072,19910.09313423618,11538.6039924987,8312.010284482956,,,
El Dorado,324.0,373.0,27.0,240.0,75.0,52.0,28.0,2.0,83.0,65.0,18.0,140.0,113.0,17.0,4.0,6.0,140.0,184.0,283.0,41.0,2483.0,390.0,2093.0,1658.0,458.0,340.0,400.0,1246.0,412.0,1388.9999999999995,143.00000000000003,60.999999999999986,65.0,181653.0,99255.44702527723,13795.320424202968,882.6493009409489,8704.28525298198,122637.70200340312,62476.64871770489,61564.880381578034,,,
Fresno,2353.0,4055.0,226.0,2698.0,765.0,401.0,220.0,24.0,998.0,795.0,203.0,1631.0,379.0,870.0,272.0,110.0,1669.0,684.0,2043.0,310.0,31947.0,5803.0,26144.0,16064.0,3556.0,3123.0,3593.0,13053.0,3011.0,4165.000000000001,8901.999999999998,2125.000000000001,871.9999999999998,941965.0,209377.38020037548,287651.81430119753,30075.589968946046,69764.1595128791,596868.9439833981,301274.7787602097,299934.33117116126,,,
