County,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other","Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,Part I crimes reported to police (number),Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), 2011 census adjusted","White, not Latino population",Latino population,Black population,Asian/other population,"Total adult population, age 18-69","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,,Sources:
Glenn,89.0,104.0,2.0,65.0,13.0,18.0,3.0,5.0,23.0,21.0,2.0,45.0,21.0,20.0,4.0,0.0,67.0,22.0,80.0,9.0,450.0,65.0,385.0,452.0,131.0,94.0,113.0,336.0,116.0,270.0,145.0,12.0,25.000000000000004,28201.0,10223.304498094041,6490.7220625054,120.91425230816846,1027.3781508087413,17862.318963716352,9093.70362978114,8796.760746060205,,,
Humboldt,370.0,485.0,30.0,318.0,68.0,89.0,31.0,7.0,45.0,41.0,4.0,216.0,147.0,23.0,10.0,36.0,261.0,109.0,319.0,51.0,2809.0,440.0,2369.0,1891.0,444.0,336.0,579.0,1426.0,465.0,1498.9999999999998,132.99999999999991,65.99999999999999,193.0,134484.0,76078.29231413988,8816.437196304043,1121.448129619344,10106.087626196342,96122.26526625961,49590.73309646721,46654.72404904861,,,
Imperial,465.0,357.0,19.0,208.0,69.0,74.0,18.0,6.0,56.0,41.0,15.0,179.0,20.0,148.0,7.0,4.0,361.0,104.0,408.0,57.0,3616.0,452.0,3164.0,2443.0,535.0,589.0,783.0,1922.0,521.0,471.0000000000001,1786.0000000000007,124.0,62.0,178169.0,16665.70699311593,88599.4910464846,4756.111721148754,2907.315943290436,112928.62570403973,59132.38444165441,55672.15577751464,,,
Inyo,51.0,52.0,4.0,38.0,8.0,5.0,1.0,0.0,4.0,3.0,1.0,21.0,10.0,3.0,0.0,8.0,26.0,25.0,43.0,8.0,227.0,68.0,159.0,201.0,70.0,54.0,46.0,156.0,45.0,110.0,31.999999999999993,3.0,56.0,18470.0,8423.821837863734,2190.7869772213426,84.52211795325388,1669.588942099812,12368.719875138144,6538.6560911276065,6047.095114269764,,,
Kern,2456.0,4119.0,268.0,2156.0,871.0,925.0,487.0,27.0,1362.0,955.0,407.0,1997.0,715.0,954.0,301.0,27.0,1787.0,669.0,2192.0,264.0,24718.0,4447.0,20271.0,13030.0,3658.0,3331.0,3381.0,10374.0,2656.0,4961.999999999998,5982.0,1873.9999999999995,211.99999999999997,848553.0,224545.17523235187,253674.85247570983,30820.343403641007,35426.68348024564,544467.0545919484,289947.430623504,260375.1640761542,,,
Kings,433.0,1282.0,103.0,730.0,237.0,267.0,111.0,14.0,390.0,258.0,132.0,462.0,131.0,239.0,63.0,29.0,252.0,181.0,376.0,57.0,2446.0,542.0,1904.0,1650.0,385.0,307.0,371.0,1249.0,401.0,540.0,866.9999999999997,158.0,85.00000000000001,152739.0,38289.37342998716,48174.35340999478,8954.033434055578,6442.692297646936,101860.45257168445,59928.20265286025,42639.70407171609,,,
Lake,264.0,333.0,16.0,197.0,55.0,45.0,27.0,5.0,73.0,61.0,12.0,107.0,71.0,24.0,7.0,5.0,163.0,101.0,223.0,41.0,1378.0,331.0,1047.0,1064.0,352.0,127.0,324.0,790.0,274.0,770.0,139.99999999999997,79.0,75.0,63703.0,33271.04060980487,6703.928488945333,794.829923275902,2770.3677587309285,43540.166780757034,22817.010515143535,22137.62363308529,,,
Lassen,74.0,113.0,7.0,70.0,18.0,15.0,5.0,2.0,34.0,20.0,14.0,50.0,38.0,6.0,2.0,4.0,45.0,29.0,61.0,13.0,391.0,120.0,271.0,315.0,106.0,60.0,56.0,229.0,86.0,254.99999999999997,27.0,6.0,27.0,34283.0,16801.28291249031,4875.346202283272,2921.5397141411713,1634.9989957188263,26233.16782463358,18169.91518838091,7888.13696692025,,,
Los Angeles,15484.0,47804.0,2765.0,32754.0,7752.0,6606.0,2239.0,390.0,15061.0,11850.0,3211.0,16095.0,2516.0,7662.0,5306.0,611.0,9543.0,5941.0,13671.0,1813.0,194722.0,46116.0,148606.0,104171.0,27339.0,25010.0,31941.0,83329.0,20842.0,20637.000000000007,51045.999999999985,27431.00000000003,5057.000000000003,9857567.0,1967714.972340622,3093139.9732110524,564281.5200245851,1120571.2118304567,6745707.677406716,3343225.2666093237,3438934.3322408064,,,
Madera,342.0,499.0,65.0,346.0,87.0,103.0,47.0,3.0,175.0,135.0,40.0,191.0,53.0,102.0,23.0,13.0,267.0,75.0,290.0,52.0,3643.0,799.0,2844.0,1405.0,419.0,293.0,313.0,1105.0,300.0,505.9999999999998,774.9999999999998,82.0,42.00000000000001,152281.0,38671.32187369693,50280.870252384484,4118.469456122882,4441.227955942333,97511.88953814663,46486.57014824571,51580.65553909169,,,
Marin,281.0,355.0,7.0,212.0,78.0,36.0,12.0,0.0,117.0,69.0,48.0,81.0,33.0,19.0,27.0,2.0,207.0,74.0,242.0,39.0,3366.0,541.0,2825.0,1494.0,482.0,346.0,395.0,1127.0,367.0,836.0000000000002,316.0000000000001,269.0,72.99999999999999,254114.0,125690.36632329902,27680.006201580414,5683.323010795062,14813.518596335838,173867.21413201033,84631.8679070466,88004.25524961157,,,
Mariposa,39.0,56.0,4.0,36.0,11.0,4.0,2.0,1.0,15.0,9.0,6.0,14.0,10.0,2.0,0.0,2.0,17.0,22.0,29.0,10.0,283.0,55.0,228.0,222.0,68.0,41.0,57.0,173.0,49.0,163.0,39.0,3.0,16.999999999999996,17963.0,10334.357529584158,1043.3444694209609,98.6419898374731,801.3231593297842,12277.667148172377,6347.59418652078,6148.433812227493,,,
Mendocino,206.0,295.0,15.0,219.0,20.0,45.0,8.0,4.0,31.0,29.0,2.0,102.0,59.0,21.0,7.0,15.0,125.0,81.0,176.0,30.0,1366.0,483.0,883.0,1277.0,369.0,223.0,398.0,981.0,296.0,877.0,201.00000000000003,57.00000000000001,142.0,87669.0,42859.980623394906,11975.000096351072,423.8831738578454,4612.62562902677,59871.48952263059,30550.092421963094,29703.341510557544,,,
Merced,584.0,843.0,34.0,581.0,141.0,74.0,34.0,1.0,216.0,175.0,41.0,268.0,68.0,151.0,32.0,17.0,450.0,134.0,525.0,59.0,6637.0,1409.0,5228.0,3207.0,828.0,799.0,831.0,2528.0,679.0,1076.0,1638.0,338.00000000000006,155.0,258678.0,56951.19425492093,84348.8851359701,5841.357772358742,14872.341552663303,162013.77871591307,81880.64436779855,79747.4204353328,,,
Modoc,23.0,21.0,0.0,16.0,1.0,4.0,4.0,1.0,4.0,4.0,0.0,6.0,5.0,0.0,0.0,1.0,16.0,7.0,17.0,6.0,135.0,42.0,93.0,89.0,30.0,13.0,19.0,63.0,26.0,77.0,7.000000000000002,0.0,5.0,9522.0,5037.198095248592,780.12829982636,53.13807030669187,345.5243087602048,6215.988774141848,3152.365545886543,3145.7273174909324,,,
Mono,24.0,18.0,2.0,11.0,6.0,1.0,0.0,0.0,7.0,5.0,2.0,5.0,4.0,1.0,0.0,0.0,12.0,12.0,21.0,3.0,257.0,49.0,208.0,122.0,39.0,28.0,45.0,103.0,19.0,80.00000000000001,28.999999999999996,4.0,9.000000000000002,14164.0,7580.467655190523,2414.196678179637,29.37878842535669,428.36773798854483,10452.41085978406,5446.711978988343,5105.257746003192,,,
Monterey,1045.0,1568.0,92.0,1077.0,218.0,214.0,72.0,4.0,414.0,372.0,42.0,674.0,149.0,416.0,86.0,23.0,808.0,237.0,906.0,139.0,8120.0,1951.0,6169.0,3772.0,1179.0,836.0,995.0,2978.0,794.0,1055.0,2248.0000000000005,308.0000000000001,161.00000000000009,419710.0,94672.92610582258,148544.42348292403,8703.575742077148,25058.37991232949,276979.30524315324,144906.2792265317,132218.34316164022,,,
Napa,253.0,341.0,11.0,209.0,55.0,40.0,10.0,5.0,89.0,67.0,22.0,129.0,74.0,41.0,9.0,5.0,182.0,71.0,229.0,24.0,1937.0,452.0,1485.0,1441.0,308.0,347.0,349.0,1129.0,312.0,791.0000000000003,423.0000000000001,169.0,57.99999999999999,137732.0,52586.714298817205,28520.619883141673,1804.261431423313,8916.689795849306,91828.2854092315,45749.462505387506,46012.376892664026,,,
Nevada,178.0,109.0,8.0,76.0,22.0,4.0,1.0,1.0,25.0,19.0,6.0,38.0,31.0,4.0,0.0,3.0,102.0,76.0,156.0,22.0,1157.0,268.0,889.0,707.0,210.0,134.0,251.0,542.0,165.0,622.9999999999999,52.99999999999999,10.0,21.000000000000007,98155.0,57863.47063902763,5725.439817296465,245.60187278788095,3156.8866423616273,66991.39897147361,33308.892043033426,33742.10080723223,,,
Orange,6334.0,7613.0,375.0,4951.0,1395.0,1055.0,468.0,15.0,1722.0,1330.0,392.0,3300.0,1214.0,1623.0,232.0,231.0,3414.0,2920.0,5526.0,808.0,39941.0,6509.0,33432.0,21768.0,4993.0,5516.0,7706.0,16836.0,4932.0,9468.999999999998,9074.999999999989,1241.9999999999989,1981.9999999999995,3043964.0,934758.7789450801,658635.9898901342,35324.936383470056,440133.45699584763,2068853.162214532,1014564.2653273477,1050559.4083153878,,,
Placer,544.0,756.0,45.0,371.0,206.0,126.0,40.0,5.0,296.0,243.0,53.0,242.0,171.0,31.0,25.0,15.0,349.0,195.0,469.0,75.0,5064.0,694.0,4370.0,3251.0,628.0,945.0,798.0,2332.0,919.0,2429.0,344.00000000000006,294.00000000000006,184.00000000000006,355687.0,175565.19884445853,30397.15413802488,3188.737480943652,23788.02853736456,232939.1190007916,113768.40521189055,118779.65654504782,,,
Plumas,42.0,52.0,3.0,33.0,9.0,8.0,3.0,1.0,9.0,9.0,0.0,29.0,27.0,1.0,0.0,1.0,20.0,22.0,31.0,11.0,315.0,104.0,211.0,251.0,76.0,41.0,70.0,190.0,61.0,226.99999999999994,13.0,5.0,6.0,19774.0,11826.067018484771,1064.1302498153661,129.13087430845687,741.5244863513835,13760.852628959978,7049.53180147885,6947.639820711799,,,
Riverside,3751.0,9546.0,605.0,6270.0,1813.0,1343.0,548.0,55.0,3074.0,2548.0,526.0,3289.0,1042.0,1564.0,604.0,79.0,2543.0,1208.0,3266.0,485.0,46321.0,6621.0,39700.0,18412.0,4636.0,4746.0,5586.0,14309.0,4103.0,7005.999999999995,8090.0,2675.0,641.0000000000001,2226552.0,585714.841211572,613710.0097588631,92242.9906870261,128597.90135327354,1420265.743010735,723927.211511958,728030.9416965074,,,
Sacramento,3893.0,6838.0,336.0,4923.0,1062.0,699.0,225.0,18.0,2339.0,1768.0,571.0,2184.0,713.0,392.0,871.0,208.0,2193.0,1700.0,3510.0,383.0,36130.0,7481.0,28649.0,15573.0,4242.0,3734.0,4287.0,12225.0,3348.0,6257.999999999998,2929.0,5278.000000000001,1107.9999999999995,1430537.0,487270.9616859715,190757.8618234992,95458.1492769956,183481.60705565847,956968.5798421247,472420.7661052093,493837.20918011374,,,
San Benito,129.0,136.0,7.0,77.0,23.0,34.0,18.0,0.0,24.0,17.0,7.0,55.0,13.0,38.0,3.0,1.0,89.0,40.0,110.0,19.0,832.0,196.0,636.0,499.0,184.0,83.0,122.0,373.0,126.0,186.0,297.0,11.0,5.000000000000001,55684.0,14132.634583315941,20011.374394187686,291.76031762729355,2070.065004381475,36505.8342995124,17860.521487255766,18007.34904628804,,,
San Bernardino,5249.0,9890.0,668.0,6026.0,2131.0,1505.0,540.0,76.0,2782.0,2153.0,629.0,4959.0,1477.0,2192.0,1198.0,92.0,4061.0,1188.0,4489.0,760.0,45363.0,8551.0,36812.0,27979.0,7108.0,8430.0,8319.0,21339.0,6640.0,9861.0,11776.000000000016,5496.000000000002,845.9999999999999,2059630.0,482993.2834934023,618980.5203079014,117760.7867765864,120926.65433758963,1340661.2449154798,666266.3670116902,679891.2277768216,,,
San Diego,4993.0,10246.0,578.0,6593.0,1974.0,1533.0,369.0,76.0,3719.0,3039.0,680.0,3381.0,1113.0,1235.0,794.0,239.0,2745.0,2248.0,4235.0,758.0,52252.0,11009.0,41243.0,27107.0,7672.0,5976.0,8565.0,20686.0,6421.0,11655.999999999998,8648.999999999998,5016.999999999995,1785.0000000000016,3131254.0,1078758.5081079644,648316.9514827866,106215.37518509658,317280.22040918213,2150571.0551850297,1092589.7825342123,1077873.552275731,,,
San Francisco*,1492.0,1211.0,58.0,963.0,152.0,108.0,3.0,1.0,206.0,163.0,43.0,421.0,80.0,50.0,229.0,62.0,1265.0,227.0,1360.0,132.0,15746.0,5465.0,10281.0,8115.0,2032.0,1234.0,1700.0,6623.0,1492.0,2693.60818476548,2264.220482048278,1345.3501836827947,411.94079831785865,814088.0,276895.0275123547,92794.64181528009,33926.08886376183,217009.60429828754,620625.3624896841,324163.8255570627,303895.57967857004,,*Adjusted for San Francisco underreporting of arrests using reported-offense arrest change.,*Adjusted for San Francisco underreporting of Latino arrests using statewide population figures prorated by San Francisco felony arrests.
San Joaquin,1163.0,2878.0,143.0,2077.0,498.0,224.0,41.0,4.0,676.0,562.0,114.0,971.0,275.0,354.0,248.0,94.0,777.0,386.0,1027.0,136.0,23551.0,5694.0,17857.0,6928.0,2068.0,1846.0,1195.0,5415.0,1513.0,2779.0,2336.0000000000014,1388.0000000000002,425.00000000000006,693589.0,171137.80337200203,160809.1736285487,33082.70155103627,78346.52582031948,443376.20437190647,221379.65699537663,223704.60470752846,,,
San Luis Obispo,596.0,661.0,30.0,442.0,124.0,73.0,25.0,3.0,207.0,147.0,60.0,281.0,165.0,73.0,31.0,12.0,317.0,279.0,507.0,89.0,3870.0,680.0,3190.0,2293.0,600.0,481.0,709.0,1767.0,526.0,1602.0000000000005,504.0000000000001,125.99999999999997,61.00000000000001,270739.0,136950.60868562668,36984.94079306763,4770.414198435795,11857.259302792314,190563.2229799224,99121.49425334434,91327.85516186433,,,
San Mateo,913.0,1395.0,89.0,978.0,240.0,181.0,71.0,11.0,428.0,337.0,91.0,612.0,163.0,198.0,149.0,102.0,595.0,318.0,800.0,113.0,9828.0,1576.0,8252.0,4595.0,1117.0,1103.0,1548.0,3664.0,931.0,1382.0,1513.0000000000002,795.9999999999998,904.0000000000002,725245.0,206396.29969523873,126227.62515898552,14146.830958596185,151963.31155088748,498734.06736370793,245845.41678505507,261883.2853654826,,,
Santa Barbara,888.0,1296.0,96.0,837.0,209.0,216.0,80.0,6.0,320.0,231.0,89.0,502.0,153.0,291.0,40.0,18.0,669.0,219.0,788.0,100.0,6430.0,1657.0,4773.0,3362.0,1058.0,681.0,879.0,2654.0,708.0,1370.0,1692.0000000000005,186.99999999999997,113.00000000000004,425840.0,140821.9988879562,118641.55621399419,5756.419168707721,22969.49216692109,288189.4664375792,146912.59025472155,142183.25658176895,,,
Santa Clara,3415.0,4748.0,188.0,3435.0,760.0,474.0,154.0,16.0,1627.0,1090.0,537.0,1764.0,349.0,924.0,273.0,218.0,2448.0,967.0,2982.0,433.0,27530.0,4564.0,22966.0,11469.0,3241.0,2526.0,3296.0,9105.0,2364.0,3261.0000000000005,5520.000000000003,1249.9999999999995,1438.0,1805861.0,442426.3592881545,315199.4488641847,33629.430464854304,442994.0996282216,1234249.3382454151,620149.5118090499,614946.5678568453,,,
Santa Cruz,381.0,490.0,25.0,359.0,64.0,47.0,14.0,3.0,101.0,89.0,12.0,134.0,50.0,66.0,15.0,3.0,231.0,150.0,348.0,33.0,5934.0,1169.0,4765.0,2601.0,578.0,586.0,870.0,2089.0,512.0,1420.0000000000002,992.0,139.00000000000006,49.99999999999998,264824.0,117121.51926988232,56150.657045660686,1871.536671627245,14895.614690787595,190039.32767795786,94745.22984816636,93758.30400052208,,,
Shasta,234.0,1217.0,122.0,661.0,282.0,264.0,101.0,15.0,403.0,325.0,78.0,399.0,315.0,39.0,19.0,26.0,169.0,65.0,204.0,30.0,4222.0,1302.0,2920.0,1777.0,380.0,418.0,377.0,1268.0,509.0,1481.0000000000002,96.0,105.99999999999999,94.0,177675.0,97493.55200411243,9548.372419509124,917.4338940379007,9964.75670751583,117924.11502517527,58463.09134202146,60100.983401054014,,,
Sierra,6.0,13.0,0.0,6.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,4.0,2.0,5.0,1.0,47.0,5.0,42.0,36.0,13.0,7.0,6.0,33.0,3.0,32.0,3.0,0.0,1.0,3179.0,1991.1763888665362,151.31239227914708,3.7374231407002556,47.91596791725988,2194.1421722036434,1146.4262359986267,1097.0608126604839,,,
Siskiyou,96.0,212.0,10.0,131.0,47.0,26.0,2.0,2.0,50.0,42.0,8.0,52.0,37.0,6.0,6.0,3.0,80.0,16.0,88.0,8.0,631.0,155.0,476.0,577.0,156.0,95.0,153.0,463.0,114.0,436.99999999999994,59.0,35.000000000000014,46.0,44750.0,24120.60581164343,2825.0439712043553,377.8001674053926,2557.6129963867097,29881.062946639886,15309.949344944092,15006.85924001109,,,
Solano,774.0,1273.0,78.0,901.0,208.0,151.0,46.0,9.0,230.0,193.0,37.0,452.0,120.0,90.0,206.0,36.0,562.0,212.0,679.0,95.0,9825.0,1802.0,8023.0,4284.0,1215.0,1059.0,998.0,3307.0,977.0,1756.9999999999995,597.9999999999999,1670.9999999999998,258.0,413635.0,122905.12347548074,62080.99566147579,41133.53277283571,56374.04014136415,282493.69205115637,139434.21645157182,141783.6861886413,,,
Sonoma,960.0,1098.0,71.0,730.0,226.0,104.0,32.0,2.0,219.0,192.0,27.0,394.0,181.0,140.0,45.0,28.0,459.0,501.0,857.0,103.0,5690.0,1702.0,3988.0,4615.0,1126.0,862.0,1871.0,3559.0,1056.0,3008.0,1057.0,325.99999999999994,223.9999999999999,486479.0,229398.7121213399,76356.90805972232,5227.090831611151,23620.795323231898,334603.50633590523,164890.96814583123,169933.30796365306,,,
Stanislaus,1110.0,2020.0,129.0,1084.0,542.0,357.0,182.0,7.0,593.0,480.0,113.0,752.0,351.0,275.0,84.0,42.0,847.0,263.0,989.0,121.0,14057.0,2484.0,11573.0,7201.0,1633.0,1704.0,2110.0,5633.0,1568.0,3572.9999999999995,2740.0,607.9999999999999,279.9999999999999,518461.0,167807.19216923072,129995.4850859644,7714.0034462819995,28180.670081016782,333697.3507824939,165192.86230687442,169054.3949569298,,,
Sutter,162.0,317.0,27.0,198.0,63.0,55.0,22.0,3.0,27.0,20.0,7.0,191.0,108.0,51.0,15.0,17.0,137.0,25.0,141.0,21.0,1842.0,343.0,1499.0,1112.0,362.0,318.0,211.0,825.0,287.0,660.0000000000001,283.0,88.00000000000003,81.00000000000001,95351.0,31968.285169764877,16329.68066292934,1203.9502459481105,11208.049194599953,60709.96527324228,30304.73284174544,30670.45187727651,,,
Tehama,182.0,399.0,31.0,204.0,72.0,112.0,27.0,24.0,105.0,84.0,21.0,185.0,111.0,60.0,10.0,4.0,114.0,68.0,156.0,26.0,1108.0,348.0,760.0,1037.0,187.0,235.0,458.0,759.0,278.0,752.9999999999999,210.99999999999997,30.999999999999996,42.0,63798.0,30064.424810412416,8207.711608021486,225.80722635248748,2209.7052412193443,40707.648886005736,20441.18238876193,20646.519149434556,,,
Trinity,53.0,39.0,1.0,31.0,3.0,4.0,2.0,3.0,10.0,6.0,4.0,15.0,11.0,3.0,0.0,1.0,13.0,40.0,43.0,10.0,150.0,34.0,116.0,325.0,71.0,38.0,146.0,250.0,75.0,281.0,32.0,4.000000000000001,7.999999999999999,13555.0,7837.093981449324,648.4506451287804,31.555111294923144,867.9209111982,9385.020649071228,5186.605597341469,4661.379805786484,,,
Tulare,1494.0,2512.0,141.0,1648.0,480.0,299.0,97.0,10.0,671.0,563.0,108.0,664.0,181.0,424.0,37.0,22.0,793.0,701.0,1296.0,198.0,11015.0,1905.0,9110.0,6662.0,1714.0,1531.0,1911.0,5084.0,1578.0,2082.999999999999,4024.0000000000027,353.99999999999994,201.0,448965.0,97635.54851924404,158819.30646842203,3750.961023475742,14756.862468253297,274962.6784793951,138398.24075779645,136956.85123974885,,,
Tuolumne,120.0,236.0,17.0,129.0,36.0,56.0,17.0,2.0,71.0,65.0,6.0,83.0,69.0,7.0,1.0,6.0,69.0,51.0,93.0,27.0,865.0,106.0,759.0,862.0,131.0,153.0,350.0,617.0,245.0,727.0000000000001,96.0,13.000000000000004,26.000000000000004,54393.0,30558.785654905947,4236.527664498504,1082.7594972477345,1898.5761504155453,37776.64896706773,20553.487647134967,17399.778799931963,,,
Ventura,1408.0,1886.0,106.0,1232.0,312.0,282.0,82.0,3.0,456.0,379.0,77.0,630.0,209.0,369.0,35.0,17.0,900.0,508.0,1216.0,192.0,8896.0,1705.0,7191.0,7580.0,1933.0,1597.0,2352.0,5836.0,1744.0,3139.9999999999986,3915.9999999999964,343.99999999999994,180.0,830215.0,278810.78817238746,213253.00585014277,9644.66049378315,51423.816941691155,553132.2714580045,274931.3757625175,278325.7176830845,,,
Yolo,399.0,878.0,65.0,444.0,214.0,206.0,71.0,7.0,276.0,248.0,28.0,385.0,163.0,142.0,53.0,27.0,280.0,119.0,347.0,52.0,3410.0,569.0,2841.0,1944.0,457.0,449.0,533.0,1502.0,442.0,908.9999999999997,641.0,272.0,121.99999999999997,201645.0,73600.60311200553,39224.24542066459,3837.9651763858596,27046.441449489794,143709.25515854577,68843.90307827012,72730.2331739724,,,
Yuba,414.0,419.0,25.0,286.0,73.0,47.0,13.0,4.0,62.0,49.0,13.0,204.0,138.0,34.0,21.0,11.0,344.0,70.0,359.0,55.0,1611.0,341.0,1270.0,1331.0,447.0,300.0,250.0,1024.0,307.0,939.0,201.99999999999997,122.0,67.99999999999999,72554.0,29389.81630745219,10349.232977807176,1455.1358101112144,5694.445190075174,46888.63028544575,23739.01061142679,23517.65842373249,,,
