County,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,"Imprisonments for 3rd strikes (June 30, 2013)","Imprisonments for 2nd strikes (June 30, 2013)","New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,"Part I crimes reported to police (number), as defined by the Criminal Justice Statistics Center",Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), July 1, 2013","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3","Male population, age 18-69","Female population, age 18-69","At Legislative Analyst-estimated cost per prisoner per year, 2013-14",
Placer,675.0,641.0,640.0,35.0,481.0,81.0,61.0,52.0,383.0,144.0,80.0,32.0,6.0,286.0,49.0,237.0,219.0,204.0,15.0,157.0,24.0,21.0,17.0,88.0,64.0,36.0,416.0,225.0,553.0,88.0,7869.0,660.0,7209.0,4010.0,640.0000000000001,1049.0000000000002,1397.000000000001,2875.0,1135.0000000000002,2947.9999999999995,545.0000000000001,319.00000000000017,198.00000000000006,364372.0,182265.0,32119.0,3320.0,20732.0,238436.0,116996.0,121440.0,,
Plumas,41.0,44.0,40.0,1.0,34.0,3.0,2.0,2.0,32.0,5.0,3.0,2.0,1.0,9.0,0.0,9.0,11.0,10.0,1.0,7.0,2.0,0.0,2.0,6.0,3.0,1.0,19.0,25.0,39.0,5.0,482.0,92.0,390.0,235.0,66.0,42.00000000000002,63.99999999999997,182.0,53.0,199.00000000000003,21.0,2.0,13.000000000000004,19769.0,11217.0,1016.0,149.0,822.0,13204.0,6572.0,6632.0,,
Riverside,9932.0,3923.0,9397.0,535.0,2658.0,4570.0,2328.0,376.0,6685.0,1503.0,1029.0,573.0,28.0,3389.0,448.0,2941.0,2842.0,2604.0,238.0,825.0,1321.0,614.0,82.0,1279.0,724.0,445.0,2724.0,1199.0,3464.0,459.0,71337.0,6203.0,65134.0,21473.999999999978,4440.999999999997,5234.0000000000055,7566.000000000012,16493.999999999978,4980.0,8379.999999999995,9293.999999999998,3119.9999999999977,679.9999999999999,2276342.0,582262.0,655594.0,94078.0,133378.0,1465312.0,733236.0,732076.0,,
Sacramento,6752.0,4225.0,6468.0,284.0,1806.0,1235.0,2926.0,785.0,4980.0,741.0,448.0,177.0,19.0,2316.0,515.0,1801.0,1641.0,1543.0,98.0,447.0,293.0,610.0,291.0,756.0,347.0,200.0,2444.0,1781.0,3738.0,487.0,51841.0,7515.0,44326.0,17053.000000000015,4485.999999999999,3732.999999999996,5537.999999999994,13492.000000000016,3560.999999999999,6784.999999999994,3196.999999999999,5794.000000000003,1277.0000000000002,1455343.0,484922.0,199710.0,98113.0,190218.0,972963.0,479085.0,493878.0,,
San Benito,117.0,118.0,112.0,5.0,24.0,89.0,1.0,3.0,85.0,11.0,11.0,4.0,0.0,23.0,7.0,16.0,28.0,28.0,0.0,6.0,22.0,0.0,0.0,19.0,3.0,2.0,86.0,32.0,98.0,20.0,1037.0,245.0,792.0,503.0000000000001,155.00000000000003,84.00000000000003,147.99999999999994,391.00000000000006,112.00000000000003,141.99999999999997,347.00000000000006,4.000000000000001,10.0,56750.0,15147.0,20513.0,296.0,1772.0,37728.0,18808.0,18920.0,,
San Bernardino,8786.0,5689.0,8313.0,473.0,2137.0,3621.0,2504.0,524.0,5916.0,1360.0,733.0,284.0,36.0,2793.0,466.0,2327.0,3270.0,2998.0,272.0,818.0,1332.0,772.0,348.0,1511.0,788.0,351.0,4284.0,1405.0,4992.0,697.0,66032.0,8434.0,57598.0,30051.000000000004,7438.000000000005,9155.000000000005,9117.000000000005,22948.0,7103.000000000005,10121.000000000005,13352.000000000005,5682.999999999999,895.0000000000001,2091054.0,475571.0,655928.0,119035.0,123949.0,1374483.0,685030.0,689453.0,,
San Diego,9132.0,6016.0,8676.0,456.0,2536.0,3225.0,2582.0,789.0,6363.0,1414.0,747.0,182.0,30.0,3599.0,633.0,2966.0,2351.0,2152.0,199.0,708.0,890.0,589.0,164.0,1052.0,632.0,317.0,3020.0,2996.0,5129.0,887.0,81449.0,11173.0,70276.0,30378.000000000036,7838.000000000002,6194.000000000004,9571.0,23203.000000000033,7175.000000000002,13321.00000000001,9460.999999999985,5452.000000000004,2143.9999999999995,3209225.0,1086286.0,671512.0,111642.0,321573.0,2191013.0,1119130.0,1071883.0,,
San Francisco,987.0,1207.0,961.0,26.0,151.0,133.0,547.0,156.0,863.0,79.0,19.0,2.0,0.0,204.0,40.0,164.0,973.0,924.0,49.0,211.0,394.0,289.0,79.0,417.0,231.0,88.0,1026.0,181.0,1097.0,110.0,56602.0,7164.0,49438.0,8603.999999999998,1891.000000000001,1483.9999999999998,1375.9999999999998,7146.999999999998,1457.0,2628.0,1100.0,4075.000000000002,801.0,842357.0,280028.0,94806.0,33944.0,224350.0,633128.0,328044.0,305084.0,,*Adjusted for San Francisco underreporting of arrests using reported-offense arrest change.
San Joaquin,3017.0,1371.0,2882.0,135.0,635.0,1110.0,909.0,363.0,2193.0,402.0,146.0,15.0,7.0,721.0,95.0,626.0,239.0,224.0,15.0,156.0,63.0,12.0,8.0,123.0,55.0,28.0,842.0,529.0,1211.0,160.0,33583.0,4980.0,28603.0,8244.0,2269.999999999999,2074.9999999999995,1721.000000000001,6502.000000000001,1741.9999999999998,3253.0000000000005,2748.999999999999,1687.0000000000002,555.0000000000002,705640.0,169485.0,170315.0,33337.0,82931.0,456068.0,228840.0,227228.0,,
San Luis Obispo,694.0,690.0,666.0,28.0,365.0,210.0,96.0,23.0,470.0,93.0,62.0,32.0,3.0,220.0,60.0,160.0,358.0,339.0,19.0,76.0,139.0,89.0,54.0,157.0,105.0,49.0,366.0,324.0,583.0,107.0,7277.0,1069.0,6208.0,2421.999999999999,558.0000000000001,506.00000000000006,957.0000000000006,1854.0,567.9999999999993,1700.9999999999989,543.0,92.0,86.00000000000003,272775.0,135555.0,38853.0,4831.0,12003.0,191242.0,100422.0,90820.0,,
San Mateo,1260.0,1028.0,1214.0,46.0,247.0,423.0,358.0,232.0,929.0,178.0,77.0,22.0,2.0,384.0,87.0,297.0,159.0,155.0,4.0,22.0,35.0,90.0,12.0,97.0,33.0,8.0,637.0,391.0,896.0,132.0,16527.0,1776.0,14751.0,4914.999999999998,1118.9999999999995,1162.9999999999984,1787.9999999999993,3867.999999999999,1046.999999999999,1586.0000000000011,1561.0000000000005,899.0,869.0000000000006,747431.0,207589.0,127817.0,13771.0,156296.0,505473.0,250953.0,254520.0,,
Santa Barbara,1197.0,959.0,1131.0,66.0,330.0,685.0,133.0,49.0,852.0,138.0,120.0,51.0,2.0,351.0,85.0,266.0,338.0,305.0,33.0,103.0,204.0,26.0,5.0,166.0,61.0,55.0,709.0,250.0,802.0,157.0,11240.0,1416.0,9824.0,3894.000000000002,1094.999999999999,760.0,1274.0000000000005,3025.000000000002,868.9999999999999,1636.9999999999993,1898.0000000000005,227.00000000000009,132.0,435497.0,142051.0,122762.0,5522.0,23428.0,293763.0,150020.0,143743.0,,
Santa Clara,4188.0,3987.0,4070.0,118.0,796.0,1990.0,704.0,698.0,3257.0,528.0,226.0,85.0,10.0,1513.0,474.0,1039.0,951.0,897.0,54.0,149.0,454.0,128.0,220.0,480.0,271.0,77.0,2860.0,1127.0,3458.0,529.0,49013.0,4538.0,44475.0,13182.000000000002,3170.0000000000014,3007.9999999999986,4415.0,10426.0,2756.0000000000014,3656.0000000000005,6544.999999999998,1375.9999999999998,1605.0000000000005,1864255.0,444598.0,326192.0,31993.0,459744.0,1262527.0,639038.0,623489.0,,
Santa Cruz,586.0,451.0,565.0,21.0,234.0,293.0,29.0,30.0,433.0,74.0,37.0,12.0,2.0,135.0,14.0,121.0,187.0,178.0,9.0,81.0,95.0,6.0,5.0,108.0,37.0,19.0,326.0,125.0,390.0,61.0,9142.0,1002.0,8140.0,2813.999999999999,610.0000000000003,570.0000000000001,965.0000000000011,2231.9999999999995,581.9999999999998,1602.9999999999998,1004.9999999999997,137.0,68.99999999999999,270602.0,117879.0,57927.0,1781.0,15384.0,192971.0,97365.0,95606.0,,
Shasta,1165.0,328.0,1100.0,65.0,899.0,74.0,85.0,107.0,694.0,211.0,140.0,62.0,6.0,437.0,70.0,367.0,325.0,304.0,21.0,244.0,27.0,24.0,30.0,164.0,61.0,37.0,240.0,88.0,278.0,50.0,7044.0,1150.0,5894.0,2645.9999999999995,346.00000000000017,621.0000000000002,650.0,1921.9999999999995,724.0000000000001,2191.999999999999,141.00000000000006,182.00000000000003,131.00000000000003,178751.0,97738.0,9496.0,983.0,9838.0,118055.0,58230.0,59825.0,,
Sierra,10.0,7.0,10.0,0.0,8.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,4.0,3.0,84.0,7.0,77.0,45.99999999999999,14.0,16.0,6.0,37.99999999999999,8.0,45.0,1.0,0.0,0.0,3187.0,1953.0,184.0,5.0,81.0,2223.0,1125.0,1098.0,,
Siskiyou,172.0,91.0,164.0,8.0,131.0,12.0,9.0,20.0,108.0,35.0,10.0,2.0,0.0,52.0,9.0,43.0,33.0,32.0,1.0,26.0,3.0,3.0,1.0,13.0,13.0,0.0,70.0,21.0,81.0,10.0,889.0,116.0,773.0,705.0000000000001,198.0,135.00000000000006,174.00000000000003,528.0000000000001,177.00000000000003,520.9999999999999,78.00000000000001,44.999999999999986,61.0,44652.0,23663.0,2940.0,407.0,2627.0,29637.0,14840.0,14797.0,,
Solano,1029.0,902.0,990.0,39.0,261.0,173.0,509.0,86.0,829.0,90.0,56.0,14.0,3.0,205.0,37.0,168.0,236.0,225.0,11.0,64.0,42.0,109.0,21.0,129.0,48.0,25.0,609.0,293.0,788.0,114.0,15534.0,2001.0,13533.0,5048.999999999998,1367.0000000000002,1313.0000000000005,1308.0000000000002,3884.999999999998,1164.0000000000005,2112.0000000000005,725.9999999999998,1910.0000000000002,301.00000000000017,420878.0,122059.0,66085.0,42667.0,59280.0,290091.0,145930.0,144161.0,,
Sonoma,967.0,1088.0,924.0,43.0,418.0,344.0,107.0,98.0,725.0,134.0,40.0,19.0,3.0,225.0,23.0,202.0,217.0,205.0,12.0,98.0,75.0,24.0,20.0,117.0,44.0,19.0,533.0,555.0,920.0,168.0,10000.0,1782.0,8218.0,4963.000000000001,1163.999999999999,970.0000000000002,2134.999999999999,3755.0000000000005,1208.0000000000007,3226.9999999999986,1084.0000000000005,413.99999999999994,237.9999999999999,494398.0,227621.0,81268.0,5147.0,25502.0,339538.0,168853.0,170685.0,,
