County,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other","Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,Part I crimes reported to police (number),Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), 2011 census adjusted","White, not Latino population",Latino population,Black population,Asian/other population,"Total adult population, age 18-69","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,,Sources:
Santa Barbara,940.0,1579.0,125.0,903.0,325.0,308.0,120.0,5.0,307.0,87.0,220.0,769.0,212.0,480.0,54.0,23.0,708.0,232.0,816.0,124.0,6637.0,1897.0,4740.0,3592.0,1154.0,836.0,816.0,2919.0,673.0,1348.0000000000002,1910.9999999999993,218.99999999999997,114.00000000000001,3591.999999999999,146214.92534041207,112149.92460086253,5576.000669745338,22114.774862315797,286055.62547333573,136640.2866158523,134532.13795277095,,,
Santa Clara,4034.0,5520.0,322.0,3546.0,1123.0,804.0,324.0,19.0,1659.0,512.0,1147.0,2184.0,467.0,1144.0,320.0,253.0,2828.0,1206.0,3524.0,510.0,28803.0,5013.0,23790.0,14269.0,3663.0,3759.0,4019.0,11232.0,3037.0,3780.0,7049.999999999996,1657.0000000000002,1781.9999999999998,14269.000000000011,454766.348132475,301294.825477563,31953.826064599114,421654.48185335356,1209669.4815279907,573506.4115608251,564658.0930689325,,,
Santa Cruz,447.0,532.0,30.0,371.0,101.0,50.0,18.0,2.0,103.0,14.0,89.0,167.0,67.0,82.0,15.0,3.0,227.0,220.0,392.0,55.0,6020.0,1215.0,4805.0,2715.0,664.0,631.0,832.0,2174.0,541.0,1391.9999999999995,1102.0,160.99999999999997,59.999999999999986,2715.0,118990.19030138082,53539.32034939742,1820.4234253798622,14111.018359810201,188460.9524359683,91723.58670192814,90308.43337147351,,,
Shasta,214.0,1370.0,156.0,720.0,328.0,300.0,129.0,9.0,385.0,75.0,310.0,521.0,393.0,55.0,31.0,42.0,156.0,58.0,186.0,28.0,4002.0,1280.0,2722.0,1684.0,396.0,389.0,415.0,1196.0,488.0,1409.0000000000002,84.0,92.0,99.00000000000001,1683.9999999999998,97982.03063119555,8184.13718729272,878.3647604802063,8820.904608695186,115865.43718766367,58850.62813459031,57942.65380215765,,,
Sierra,6.0,10.0,0.0,6.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,5.0,1.0,46.0,13.0,33.0,40.0,12.0,10.0,6.0,35.0,5.0,35.00000000000001,3.0,0.0,2.0,40.0,1999.7740745231986,158.6012135794663,3.9025931696735547,76.18587998782914,2238.4637612601678,1253.6555442537692,1234.3135747289737,,,
Siskiyou,85.0,232.0,11.0,141.0,42.0,27.0,7.0,3.0,48.0,8.0,40.0,49.0,38.0,3.0,2.0,6.0,53.0,32.0,77.0,8.0,630.0,183.0,447.0,623.0,171.0,118.0,176.0,485.0,138.0,488.00000000000006,46.00000000000001,38.0,50.99999999999999,623.0000000000001,24014.70024947054,2566.621650119327,379.86854548233885,2385.3542954496625,29346.54474052187,15009.073461115082,14777.50663016942,,,
Solano,853.0,1522.0,135.0,936.0,341.0,267.0,113.0,2.0,237.0,36.0,201.0,616.0,194.0,86.0,294.0,42.0,640.0,213.0,746.0,107.0,10524.0,2064.0,8460.0,4625.0,1349.0,1004.0,1313.0,3572.0,1053.0,1787.0,930.9999999999999,1617.0000000000002,290.0000000000001,4625.0,125079.44137946333,58241.6776597901,41494.74049662338,54276.2663468908,279092.1258827676,139510.9549052551,137358.51626250273,,,
Sonoma,955.0,1185.0,78.0,733.0,261.0,135.0,41.0,5.0,221.0,27.0,194.0,455.0,228.0,170.0,37.0,20.0,529.0,426.0,822.0,133.0,6454.0,1917.0,4537.0,4666.0,1179.0,1035.0,1608.0,3610.0,1056.0,2810.9999999999986,1305.0000000000002,335.0,215.0000000000001,4665.999999999998,229147.2354425396,71184.63027402872,4793.509617931182,22676.466159040516,327801.84149354004,159640.76036367903,157177.749901178,,,
Stanislaus,1278.0,2329.0,187.0,1138.0,683.0,479.0,277.0,10.0,588.0,111.0,477.0,1053.0,502.0,389.0,106.0,56.0,851.0,427.0,1088.0,190.0,14877.0,2721.0,12156.0,8199.0,1909.0,2106.0,2130.0,6307.0,1892.0,3861.000000000003,3196.999999999999,772.9999999999999,368.0,8199.000000000005,167569.113081534,122569.87306160279,8506.641808818647,28085.789247848035,326731.41719980346,157300.40875124573,154873.50630084777,,,
Sutter,233.0,454.0,45.0,223.0,149.0,53.0,25.0,0.0,33.0,7.0,26.0,278.0,162.0,85.0,17.0,14.0,174.0,59.0,185.0,48.0,1354.0,316.0,1038.0,1050.0,391.0,277.0,171.0,743.0,307.0,611.9999999999999,274.0,82.0,82.0,1049.9999999999998,31958.961525788036,15502.398868562565,1176.1524656163833,11148.188613330502,59785.701473297486,28234.644702471385,27799.027726275817,,,
Tehama,180.0,398.0,32.0,198.0,66.0,107.0,35.0,17.0,77.0,18.0,59.0,145.0,99.0,40.0,2.0,4.0,107.0,73.0,143.0,37.0,1112.0,387.0,725.0,1082.0,218.0,229.0,449.0,831.0,251.0,802.0,226.00000000000003,25.0,29.0,1082.0000000000007,30073.350240712607,7586.907725237402,230.36363330277175,2173.8727236386403,40064.49432289143,20525.436471424153,20208.760675960948,,,
Trinity,32.0,59.0,3.0,34.0,14.0,8.0,3.0,3.0,13.0,4.0,9.0,23.0,19.0,2.0,1.0,1.0,13.0,19.0,25.0,7.0,145.0,22.0,123.0,234.0,61.0,47.0,63.0,186.0,48.0,187.0,25.0,3.0,19.0,234.00000000000003,8014.427717455921,533.5959309654281,40.84780429958507,800.6227754692809,9389.494228190215,4933.411142593331,4857.296225373284,,,
Tulare,1481.0,2766.0,185.0,1604.0,661.0,419.0,179.0,17.0,620.0,109.0,511.0,909.0,259.0,570.0,49.0,31.0,701.0,780.0,1267.0,214.0,11353.0,2230.0,9123.0,6908.0,1905.0,1703.0,1613.0,5425.0,1483.0,1935.9999999999995,4476.000000000001,344.00000000000006,151.99999999999997,6907.999999999999,97603.41657902463,150295.80988672853,3646.7440949199545,14742.048908763594,266288.0194694367,134125.7212813484,132056.3684791325,,,
Tuolumne,113.0,246.0,25.0,125.0,55.0,58.0,17.0,6.0,67.0,5.0,62.0,82.0,67.0,10.0,1.0,4.0,63.0,50.0,82.0,31.0,827.0,158.0,669.0,800.0,147.0,192.0,197.0,567.0,233.0,713.0000000000002,56.00000000000001,12.000000000000002,19.000000000000004,800.0000000000002,30604.35559977742,3990.715689789538,1125.890655506178,1758.9137989055453,37479.87574397868,19476.655521207744,19176.16079658992,,,
Ventura,1527.0,2154.0,134.0,1302.0,444.0,366.0,154.0,6.0,433.0,75.0,358.0,828.0,269.0,491.0,49.0,19.0,982.0,545.0,1299.0,228.0,9717.0,2021.0,7696.0,7821.0,2027.0,1977.0,1930.0,6138.0,1683.0,3024.0,4199.000000000001,397.00000000000017,200.99999999999991,7820.999999999999,280288.35929482087,201655.96339578996,9589.133452765847,48644.9831112097,540178.4392545864,268803.8722477226,264656.6435061489,,,
Yolo,404.0,1072.0,92.0,471.0,246.0,330.0,113.0,6.0,249.0,27.0,222.0,528.0,212.0,189.0,75.0,52.0,317.0,87.0,354.0,50.0,3535.0,556.0,2979.0,2163.0,493.0,478.0,573.0,1670.0,493.0,1052.0000000000002,733.9999999999999,248.99999999999997,128.00000000000003,2162.999999999999,73707.93282487565,37348.94261218224,3321.3462697745076,27185.63157615572,141563.85328298813,67414.3579947916,66374.25853218755,,,
Yuba,417.0,487.0,51.0,299.0,107.0,82.0,24.0,3.0,67.0,12.0,55.0,203.0,135.0,42.0,14.0,12.0,365.0,52.0,353.0,64.0,1162.0,279.0,883.0,1145.0,331.0,331.0,200.0,857.0,288.0,768.0,184.0,117.0,76.00000000000001,1145.0,29164.523443234066,9684.872583945094,1424.557949852674,5598.728498694538,45872.68247572637,23303.599534631627,22944.060972318497,,,
California,76130.0,159439.0,10918.0,94588.0,33112.0,29071.0,11384.0,1613.0,41009.0,8570.0,32439.0,64449.0,17855.0,27230.0,16016.0,3348.0,52489.0,23639.0,66690.0,9438.0,770393.0,174580.0,595813.0,407886.0,106778.0,103713.0,113111.0,320596.0,87290.0,136302.17898562585,167177.5356316949,84866.5104325503,23673.00738696913,412019.2324368399,10719527.459159646,8593161.623104993,1514775.6281715038,4018591.3935402734,24846056.103976414,12037828.550746555,11852103.441452801,,*Statewide arrest figures are affected by adjusted San Francisco arrest tabulations.,
