County,"Total incarcerated (state prison + local jails), adult females","Part I crime rate per 100,000 population (offenses reported to police)","Violent crime rate per 100,000 population","Property crime rate per 100,000 population","Adult felony arrest rate per 100,000 population age 18-69",Violent crime arrest rate,Property crime arrest rate,Drug offense arrest rate,Male felony arrest rate,Female felony arrest rate,"White, not Latino, felony arrest rate",Latino felony arrest rate,African American felony arrest rate,Asian/other felony arrest rate,"Percent of adults ages 18-64 living in households with incomes below poverty guidelines, 2011-2015 average",Adult poverty rate as percent of state adult poverty rate,,Raw numbers,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black",New felon and parole violator admissions to prison who are under age 35 (2014),New felon and parole violator admissions to prison who are age 35 or older (2014),"New felon and parole violator admissions to prison, Asian/all other/unknown race",New felon and parole violator admissions to prison for violent offenses
Merced,88.0,3557.644895432082,618.398466609078,2939.2464288230035,1482.2145892763579,469.2321127088549,303.8947429702509,164.75519590149617,2360.940707020903,575.9292328433402,1304.8159570779421,1564.531599701588,4137.59532695116,636.0424028268551,0.19028081316234383,1.5307698344167031,,Merced,889.0,684.0,863.0,26.0,198.0,478.0,133.0,80.0,643.0,100.0,65.0,14.0,2.0,248.0,29.0,219.0,265.0,256.0,9.0,52.0,151.0,40.0,210.0,127.0,22.0,155.0
Modoc,7.0,2009.0459661302198,725.7810034711265,1283.2649626590933,2211.0225979515526,699.0733214111527,308.892862949114,292.635343846529,3194.5788964181993,1212.3197903014418,2269.321344465853,939.4572025052191,4477.611940298507,3956.043956043956,0.1765033407572383,1.4199329150145856,,Modoc,24.0,24.0,22.0,2.0,14.0,4.0,0.0,6.0,19.0,3.0,1.0,0.0,0.0,3.0,0.0,3.0,6.0,6.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,5.0
Mono,5.0,1548.704588218266,209.8711825155594,1338.8334057027066,907.6863653920433,434.5307068366165,115.87485515643105,164.156044804944,1357.7118030412744,393.2119205298013,890.7446068197635,731.613400077012,17500.0,749.0636704119851,0.12119035402770652,0.9749513631183434,,Mono,19.0,21.0,17.0,2.0,11.0,6.0,1.0,1.0,12.0,3.0,2.0,0.0,0.0,3.0,1.0,2.0,4.0,4.0,0.0,2.0,1.0,1.0,4.0,1.0,0.0,2.0
Monterey,167.0,2627.4407324375,441.7272981510263,2185.7134342864742,1104.0473563459957,408.7637261598277,262.3513546647051,127.84812343473615,1687.5020835416876,458.2687624529555,845.6566014345169,1249.2898253587925,2885.6304985337247,481.89843686725516,0.12341853752672162,0.9928766390783916,,Monterey,1584.0,929.0,1527.0,57.0,243.0,1027.0,186.0,128.0,1166.0,160.0,116.0,25.0,5.0,433.0,43.0,390.0,420.0,400.0,20.0,68.0,272.0,40.0,258.0,174.0,40.0,265.0
Napa,27.0,2241.674084749834,414.7061732581634,1826.9679114916705,1314.7331435780343,457.70646314889535,191.84052213985592,82.36631113613379,2024.0341235337544,581.1363973785234,1244.1287217111137,1163.1127111603435,8782.144590004851,620.4862170684569,0.09860003010687943,0.7932168737970229,,Napa,287.0,141.0,275.0,12.0,127.0,112.0,28.0,20.0,199.0,37.0,19.0,3.0,1.0,88.0,18.0,70.0,92.0,82.0,10.0,32.0,40.0,13.0,30.0,35.0,7.0,51.0
Nevada,41.0,2040.94103269172,294.327324574804,1746.613708116916,1057.018603527422,262.7446243053878,172.14302971732303,247.6443585407103,1645.6540186689294,472.49307812688096,1023.7467018469656,1205.6262558606832,5985.915492957746,930.0833867864014,0.09496275806908504,0.7639557716265551,,Nevada,99.0,215.0,97.0,2.0,81.0,12.0,3.0,3.0,65.0,19.0,8.0,1.0,0.0,28.0,5.0,23.0,23.0,22.0,1.0,20.0,3.0,0.0,22.0,20.0,0.0,10.0
Orange,1060.0,2386.959709833362,228.39298017409746,2158.566729659264,745.4389350951872,257.61731351618874,211.46513005406996,95.8295588268718,1176.4157886401536,318.06562886554127,673.9114135731975,1025.9389384269864,3085.0392797752165,293.22648888815,0.09307280991713453,0.7487515291622919,,Orange,6575.0,6121.0,6319.0,256.0,1605.0,3688.0,655.0,627.0,4827.0,887.0,464.0,134.0,10.0,1459.0,286.0,1173.0,1768.0,1648.0,120.0,571.0,911.0,145.0,1027.0,867.0,141.0,910.0
Placer,129.0,2131.424348191985,182.0692780346228,1949.3550701573618,1006.8513310223036,266.5314932304271,233.41945189351821,140.21518738962655,1517.4721560923635,514.0975178729216,971.0680126087451,923.8854043058145,6688.4661117717005,549.8446091322018,0.06533312938831297,0.5255915296638256,,Placer,663.0,639.0,630.0,33.0,465.0,86.0,64.0,48.0,371.0,149.0,81.0,17.0,1.0,286.0,47.0,239.0,243.0,227.0,16.0,165.0,34.0,30.0,129.0,152.0,14.0,111.0
Plumas,14.780000000000001,1940.161339732462,418.66639436332076,1521.4949453691413,1474.3540001551953,504.3842632109878,232.79273686660977,333.66958950880735,2240.8963585434176,711.9640922457824,1484.691995573589,1058.7102983638113,5806.451612903226,1060.070671378092,0.1236061684460261,0.9943860910641266,,Plumas,44.0,58.68,42.0,2.0,40.0,2.0,1.0,1.0,31.0,7.0,3.0,1.0,1.0,8.0,0.0,8.0,15.0,15.0,0.0,15.0,0.0,0.0,6.0,10.0,0.0,8.0
Riverside,877.0,3118.4206459058173,301.3837895018839,2817.0368564039336,886.396455205428,323.8185666528198,214.95592084874622,116.11575969774296,1415.4501544857476,355.49484591920714,747.9848147806447,946.5534969053044,2013.1959100874944,378.41796875,0.12111075701217262,0.9743110215712169,,Riverside,9221.0,3686.0,8772.0,449.0,2348.0,4368.0,2150.0,355.0,6562.0,1340.0,720.0,174.0,20.0,3219.0,404.0,2815.0,2547.0,2358.0,189.0,685.0,1273.0,516.0,1484.0,1370.0,73.0,1542.0
