County,"Total incarcerated (state prison + local jails), adult females","Part I crime rate per 100,000 population (offenses reported to police)","Violent crime rate per 100,000 population","Property crime rate per 100,000 population","Adult felony arrest rate per 100,000 population age 18-69",Violent crime arrest rate,Property crime arrest rate,Drug offense arrest rate,Male felony arrest rate,Female felony arrest rate,"White, not Latino, felony arrest rate",Latino felony arrest rate,African American felony arrest rate,Asian/other felony arrest rate,"Percent of adults ages 18-64 living in households with incomes below poverty guidelines, 2011-2015 average",Adult poverty rate as percent of state adult poverty rate,,Raw numbers,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black",New felon and parole violator admissions to prison who are under age 35 (2014),New felon and parole violator admissions to prison who are age 35 or older (2014),"New felon and parole violator admissions to prison, Asian/all other/unknown race",New felon and parole violator admissions to prison for violent offenses
Stanislaus,206.0,4248.9208205478735,574.5098184898175,3674.411002058057,1981.6341882282811,621.9396227486268,408.47609180067275,446.2296152263082,3150.3468402482886,822.1935717355409,2115.3613363999516,1719.8510927648117,7599.9171671153445,779.5555276144972,0.1454588357131855,1.1701862849889488,,Stanislaus,1608.0,1125.0,1520.0,88.0,635.0,642.0,198.0,133.0,1054.0,307.0,144.0,34.0,3.0,501.0,71.0,430.0,598.0,563.0,35.0,257.0,221.0,76.0,332.0,315.0,44.0,306.0
Sutter,60.0,2777.15175479932,327.8083959925424,2449.3433588067774,1511.4825190320182,591.9313739455233,351.3603342671288,123.45092825601823,2329.5454545454545,688.8232866711106,1517.158718142821,1751.2746619374864,6125.696101829753,665.1338479224831,0.12776717900723517,1.0278605614635872,,Sutter,339.0,220.0,325.0,14.0,177.0,99.0,41.0,22.0,231.0,59.0,21.0,5.0,2.0,53.0,6.0,47.0,129.0,116.0,13.0,66.0,37.0,18.0,58.0,54.0,8.0,80.0
Tehama,54.0,3113.959668594654,514.3035798030327,2599.656088791621,2638.6863930782283,578.4077057291045,485.1932407562322,791.1278950261717,3938.772590720519,1332.183247076864,2840.6419985225975,2009.835364549925,11196.911196911196,1677.5777414075287,0.19128404231375196,1.538840605696584,,Tehama,361.0,193.0,340.0,21.0,253.0,73.0,15.0,20.0,217.0,50.0,63.0,16.0,7.0,116.0,18.0,98.0,143.0,129.0,14.0,103.0,24.0,6.0,62.0,67.0,10.0,62.0
Trinity,9.0,2049.845155581773,250.70048665388586,1799.1446689278869,4042.045947117469,498.4828781967924,487.6462938881665,1766.3632423060253,6088.0556140720455,1874.581566614595,4134.943554738777,3111.111111111111,53488.37209302325,1569.506726457399,0.17155702792238522,1.3801408500483652,,Trinity,51.0,58.0,50.0,1.0,39.0,0.0,5.0,7.0,38.0,4.0,4.0,2.0,0.0,13.0,4.0,9.0,15.0,15.0,0.0,12.0,0.0,1.0,4.0,6.0,2.0,12.0
Tulare,291.0,2935.0883138243566,391.7624128247689,2543.3259009995877,2285.1250322248,673.3694251095643,479.84875827103207,610.4666151069863,3595.4795790392063,952.0639609466552,2040.816326530612,2377.0801598845533,7673.627974745022,1379.226168680581,0.19495397066262013,1.568364421143626,,Tulare,2191.0,1505.0,2117.0,74.0,430.0,1466.0,130.0,165.0,1646.0,299.0,119.0,21.0,1.0,603.0,66.0,537.0,527.0,504.0,23.0,106.0,349.0,23.0,345.0,212.0,49.0,338.0
Tuolumne,56.0,2763.8697845025217,416.32278771205864,2347.546996790463,1744.344508040338,400.6541291905151,403.37966748432814,166.25783592259472,2203.364597290457,1185.0776951448092,1825.8139376151796,1292.2932330827066,1512.455516014235,1643.426294820717,0.1345602057979618,1.0825090587177848,,Tuolumne,249.0,143.0,226.0,23.0,206.0,21.0,8.0,14.0,147.0,46.0,35.0,2.0,3.0,110.0,8.0,102.0,75.0,65.0,10.0,60.0,5.0,5.0,30.0,47.0,5.0,43.0
Ventura,294.0,2280.2468976412333,255.2777950571177,2024.9691025841155,1123.8057269153833,361.7790647250549,235.88204848433983,151.2512764558591,1759.0198551805363,483.99890494809034,765.3953340808226,1586.1606079632797,4384.638645297853,383.84854752454953,0.08235741749439282,0.6625484106656531,,Ventura,1730.0,1640.0,1662.0,68.0,487.0,1047.0,150.0,46.0,1222.0,237.0,164.0,35.0,2.0,443.0,64.0,379.0,508.0,476.0,32.0,158.0,315.0,34.0,300.0,250.0,1.0,272.0
Yolo,78.0,3222.591049716483,378.02206069040744,2844.568989026076,1210.939332408543,358.5238200545492,259.3433988058141,209.08305020003618,1955.6875850971655,503.18904224173986,1144.3661971830986,1399.7177428683804,6829.402084476138,378.7613102335695,0.1840601262007154,1.4807256928558528,,Yolo,719.0,378.0,692.0,27.0,249.0,278.0,125.0,67.0,452.0,113.0,92.0,16.0,5.0,268.0,29.0,239.0,207.0,199.0,8.0,78.0,76.0,38.0,117.0,142.0,15.0,117.0
Yuba,56.0,3084.1900527924427,414.13620185501264,2670.0538509374296,2171.3209915280827,870.2018617299444,376.5296517100722,395.35613429557577,3384.832627294626,939.8575462553208,2382.196217741093,1883.4866403854578,5020.3527815468115,1047.880058036434,0.17808251905296604,1.4326370781831714,,Yuba,372.0,391.0,356.0,16.0,221.0,81.0,40.0,30.0,264.0,52.0,23.0,5.0,4.0,88.0,11.0,77.0,156.0,146.0,10.0,93.0,37.0,15.0,63.0,67.0,11.0,100.0
California*,14821.98,3047.674913105694,426.49466104660166,2621.1802520590923,1112.5433462879193,388.39108287597884,255.1666651497362,163.43408785454457,1764.2987396019887,456.1389300259163,920.6904504289499,1223.6743342061425,3707.059143283066,400.92861682755955,0.12430399978116237,1.0,,California*,127444.0,72501.29000000001,122056.0,5388.0,27471.0,54265.0,36574.0,9092.0,91237.0,17730.0,9153.0,2086.0,388.0,39059.0,6893.0,32166.0,34343.0,32064.0,2279.0,8690.0,15441.0,8171.0,20731.0,17486.0,2041.0,18721.0
Unnamed: 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unnamed: 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unnamed: 62,,,,,,,,,,,,,,,,,,,http://www.cdcr.ca.gov/Reports_Research/Offender_Information_Services_Branch/Annual/Census/CENSUSd1312.pdf,https://app.bscc.ca.gov/joq//jps/QuerySelection.asp,http://www.cdcr.ca.gov/Reports_Research/Offender_Information_Services_Branch/Annual/Census/CENSUSd1312.pdf,http://www.cdcr.ca.gov/Reports_Research/Offender_Information_Services_Branch/Annual/Census/CENSUSd1312.pdf,Special data request to CDCR by author,Special data request to CDCR by author,Special data request to CDCR by author,Special data request to CDCR by author,Special data request to CDCR by author,Special data request to CDCR by author,Special data request to CDCR by author,Special data request to CDCR by author,Special data request to CDCR by author,http://www.cdcr.ca.gov/Reports_Research/Offender_Information_Services_Branch/Quarterly/Strike1/STRIKE1d1306.pdf,http://www.cdcr.ca.gov/Reports_Research/Offender_Information_Services_Branch/Quarterly/Strike1/STRIKE1d1306.pdf,http://www.cdcr.ca.gov/Reports_Research/Offender_Information_Services_Branch/Quarterly/Strike1/STRIKE1d1306.pdf,Special data request to CDCR by author,Special data request to CDCR by author,Special data request to CDCR by author,Special data request to CDCR by author,Special data request to CDCR by author,Special data request to CDCR by author,,,Special data request to CDCR by author,Special data request to CDCR by author
