County,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,"Part I crimes reported to police (number), as defined by the California Crime Index (CCI)",Violent crimes reported,"Property crimes reported (excluding larceny under $400 and arson, per CCI)","Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), using Dept. of Finance table E-2","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,
San Diego,9451.0,5317.0,9003.0,448.0,2751.0,3216.0,2746.0,738.0,6351.0,1538.0,946.0,253.0,39.0,3591.0,680.0,2911.0,2250.0,2076.0,174.0,737.0,836.0,547.0,130.0,1028.0,591.0,296.0,2905.0,2412.0,4523.0,794.0,56034.99999999997,11839.000000000004,44195.99999999996,27834.0,7879.0,5991.0,8120.999999999992,21354.0,6480.0,12350.000000000004,8647.000000000002,5010.000000000002,1826.9999999999998,3153877.0,1075054.0,666084.0,107486.0,322119.0,2170743.0,1102092.227611631,1068650.772388369,,
San Francisco,1057.0,1494.0,1020.0,37.0,189.0,119.0,580.0,169.0,902.0,98.0,33.0,0.0,0.0,203.0,43.0,160.0,199.0,196.0,3.0,35.0,25.0,115.0,24.0,133.0,31.0,16.0,1265.0,229.0,1372.0,122.0,18861.000000000007,5874.000000000003,12987.000000000004,7619.0,1692.0,1180.0,1431.0,6311.0,1308.0,3494.0,1491.0,1558.0,1076.0,822291.0,275986.0,94834.0,33742.0,219056.0,623618.0,322851.85055569076,300766.14944430924,,*Adjusted for San Francisco underreporting of arrests using reported-offense arrest change.
San Joaquin,2896.0,1439.0,2777.0,119.0,675.0,1032.0,859.0,330.0,2113.0,399.0,153.0,25.0,2.0,677.0,109.0,568.0,911.0,861.0,50.0,227.0,353.0,268.0,63.0,428.0,234.0,67.0,917.0,522.0,1303.0,136.0,24537.0,6249.000000000001,18288.0,8121.0,2383.0,2131.0,1514.0,6574.0,1547.0,3180.000000000001,2817.0000000000005,1677.9999999999995,446.0,698073.0,172219.0,164347.0,33987.0,79126.0,449679.0,225363.757581919,224315.242418081,,
San Luis Obispo,607.0,672.0,588.0,19.0,307.0,187.0,96.0,17.0,436.0,82.0,45.0,19.0,3.0,215.0,60.0,155.0,173.0,165.0,8.0,93.0,61.0,16.0,3.0,108.0,26.0,18.0,353.0,319.0,565.0,107.0,4083.9999999999986,905.9999999999997,3177.999999999999,2480.0,653.0,492.0,874.0000000000006,1883.0,597.0,1718.0000000000002,592.0,92.0,78.00000000000001,270869.0,136574.0,37938.0,4801.0,12025.0,191338.0,99791.17477360189,91546.82522639811,,
San Mateo,1254.0,983.0,1207.0,47.0,267.0,389.0,372.0,226.0,921.0,162.0,90.0,31.0,3.0,383.0,89.0,294.0,315.0,299.0,16.0,68.0,126.0,73.0,48.0,147.0,77.0,34.0,612.0,371.0,852.0,131.0,10426.000000000007,1764.0000000000005,8662.000000000007,4757.999999999999,1173.0,1175.0,1511.0,3759.0,998.9999999999994,1554.0000000000002,1525.9999999999998,861.0,816.9999999999997,735882.0,204008.0,131620.0,14441.0,154742.0,504811.0,250578.18677459093,254232.81322540907,,
Santa Barbara,1206.0,965.0,1149.0,57.0,330.0,694.0,141.0,41.0,836.0,146.0,122.0,47.0,1.0,331.0,92.0,239.0,319.0,306.0,13.0,97.0,195.0,24.0,3.0,180.0,45.0,43.0,678.0,287.0,832.0,133.0,7044.000000000006,1643.0000000000002,5401.000000000006,3559.0,1039.0,842.0,982.0,2741.0,818.0,1536.0000000000002,1664.9999999999993,219.00000000000006,139.0,426105.0,139538.0,121483.0,5893.0,23247.0,290161.0,148040.24193996046,142120.75806003954,,
Santa Clara,4440.0,3635.0,4323.0,117.0,918.0,2160.0,792.0,570.0,3342.0,568.0,320.0,124.0,9.0,1574.0,531.0,1043.0,983.0,933.0,50.0,194.0,533.0,147.0,109.0,540.0,242.0,90.0,2555.0,1080.0,3160.0,475.0,35589.99999999996,4941.999999999998,30647.999999999964,11760.999999999989,3246.0,2772.0,3306.0,9429.999999999989,2331.0,3326.999999999999,5534.999999999998,1388.0000000000005,1511.0000000000005,1826878.0,440372.0,325383.0,34809.0,448102.0,1248666.0,632627.5793525893,616038.4206474107,,
Santa Cruz,505.0,404.0,489.0,16.0,203.0,249.0,33.0,20.0,370.0,57.0,34.0,8.0,1.0,121.0,14.0,107.0,117.0,113.0,4.0,43.0,62.0,9.0,3.0,65.0,21.0,11.0,257.0,147.0,355.0,49.0,5803.999999999999,1041.0000000000002,4762.999999999999,2812.0,548.0,598.0,1110.0,2217.0,595.0,1598.0000000000005,993.0000000000002,156.00000000000006,65.0,268796.0,116470.0,57702.0,1899.0,15306.0,191377.0,96281.50124559796,95095.49875440204,,
Shasta,1150.0,328.0,1073.0,77.0,914.0,82.0,72.0,82.0,646.0,222.0,181.0,68.0,6.0,421.0,75.0,346.0,277.0,260.0,17.0,222.0,16.0,20.0,19.0,138.0,63.0,39.0,236.0,92.0,282.0,46.0,5100.999999999999,1297.9999999999993,3802.9999999999995,2675.0,391.0,694.0,643.0,1976.0,699.0,2262.0000000000005,137.0,141.0,134.99999999999997,178519.0,96558.0,10188.0,928.0,10355.0,118029.0,58104.90178214367,59924.09821785633,,
Sierra,11.0,2.0,11.0,0.0,9.0,1.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,5.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,46.0,17.0,29.0,51.0,13.0,10.0,8.0,35.0,16.0,39.99999999999999,9.0,0.0,2.0,3114.0,1962.0,149.0,4.0,47.0,2162.0,1096.8368774841865,1065.1631225158135,,
Siskiyou,178.0,79.0,168.0,10.0,128.0,14.0,15.0,21.0,114.0,33.0,20.0,4.0,1.0,54.0,9.0,45.0,35.0,32.0,3.0,27.0,1.0,3.0,4.0,23.0,5.0,5.0,58.0,21.0,68.0,11.0,578.0000000000002,104.00000000000003,474.0000000000002,612.0,183.0,108.0,153.0,469.0,143.0,445.9999999999999,53.0,47.000000000000014,66.0,45378.0,23873.0,2886.0,382.0,2557.0,29698.0,14919.269277683032,14778.730722316968,,
