Sentence Length Bin,Second Striker,Third Striker
0-10,11.07125117280203,19.162013135250938
10-20,15.945968320547491,7.712569802971236
20-30,12.964291627573266,3.2065465528746535
30-40,9.433467630663944,1.4856179538510168
40-50,11.801147966223303,1.861412566290872
50+,38.783873282189965,66.57183998876128
